verse,ar,en
,وَالْعَدِيَتِ ضَبْحًا,"By the racers, panting,"
,فَالْمُورِيَتِ قَدْحًا,And the producers of sparks [when] striking
,فَالْمُغِيرَتِ صُبْحًا,"And the chargers at dawn,"
,فَأَثَرْنَ بِهِ نَقْعًا,"Stirring up thereby [clouds of] dust,"
,فَوَسَطْنَ بِهِ جَمْعًا,"Arriving thereby in the center collectively,"
,فَوَسَطْنَ بِهِ جَمْعًا,"Arriving thereby in the center collectively,"
,إِنَّ الْإِنسَنَ لِرَبِّهِ لَكَنُودٌ,"Indeed mankind, to his Lord, is ungrateful."
,وَإِنَّهُ عَلَى ذَلِكَ لَشَهِيدٌ,"And indeed, he is to that a witness."
,وَإِنَّهُ لِحُبِّ الْخَيْرِ لَشَدِيدٌ,"And indeed he is, in love of wealth, intense."
,أَفَلَا يَعْلَمُ إِذَا بُعْثِرَ مَا فِى الْقُبُورِ,But does he not know that when the contents of the graves are scattered
,أَفَلَا يَعْلَمُ إِذَا بُعْثِرَ مَا فِى الْقُبُورِ,But does he not know that when the contents of the graves are scattered
,وَحُصِّلَ مَا فِى الصُّدُورِ,"And that within the breasts is obtained,"
,إِنَّ رَبَّهُم بِهِمْ يَوْمَئِذٍ لَّخَبِيرٌ,"Indeed, their Lord with them, that Day, is [fully] Aware."
