Name	Start	Duration	Time Format	Type	Description
Marker 01	5:30.724	0:00.000	decimal	Cue	
Marker 12	5:37.560	0:00.000	decimal	Track	
Marker 03	5:42.702	0:00.000	decimal	Cue	
Marker 04	5:48.098	0:00.000	decimal	Cue	
Marker 16	5:50.866	0:00.000	decimal	Track	
Marker 05	5:55.100	0:00.000	decimal	Cue	
Marker 14	6:00.880	0:00.000	decimal	Track	
Marker 06	6:06.200	0:00.000	decimal	Cue	
Marker 19	6:10.333	0:00.000	decimal	Track	
Marker 07	6:11.760	0:00.000	decimal	Track	
Marker 08	6:16.120	0:00.000	decimal	Track	
Marker 09	6:21.791	0:00.000	decimal	Cue	
Marker 15	6:28.466	0:00.000	decimal	Track	
Marker 11	6:33.000	0:00.000	decimal	Track	
Marker 10	6:37.517	0:00.000	decimal	Cue	
