Name	Start	Duration	Time Format	Type	Description
Marker 01	0:35.140	0:00.000	decimal	Cue	
Marker 02	0:38.106	0:00.000	decimal	Track	
Marker 03	0:47.811	0:00.000	decimal	Cue	
Marker 05	0:52.773	0:00.000	decimal	Track	
Marker 06	0:56.640	0:00.000	decimal	Track	
Marker 07	1:04.440	0:00.000	decimal	Cue	
Marker 08	1:10.026	0:00.000	decimal	Track	
Marker 09	1:14.266	0:00.000	decimal	Track	
Marker 10	1:18.662	0:00.000	decimal	Cue	
Marker 26	1:27.714	0:00.000	decimal	Subclip	
Marker 11	1:29.146	0:00.000	decimal	Track	
Marker 12	1:35.800	0:00.000	decimal	Track	
Marker 13	1:42.445	0:00.000	decimal	Cue	
Marker 16	1:47.000	0:00.000	decimal	Track	
Marker 17	1:52.866	0:00.000	decimal	Track	
Marker 19	1:58.560	0:00.000	decimal	Track	
Marker 27	2:02.080	0:00.000	decimal	Track	
Marker 20	2:05.225	0:00.000	decimal	Cue	
Marker 21	2:12.160	0:00.000	decimal	Track	
Marker 22	2:18.932	0:00.000	decimal	Cue	
Marker 23	2:28.560	0:00.000	decimal	Track	
Marker 24	2:33.560	0:00.000	decimal	Track	
Marker 25	2:36.502	0:00.000	decimal	Cue	
