Name	Start	Duration	Time Format	Type	Description
Marker 01	2:21.882	0:00.000	decimal	Cue	
Marker 02	2:25.880	0:00.000	decimal	Cue	
Marker 03	2:31.757	0:00.000	decimal	Cue	
Marker 05	2:40.620	0:00.000	decimal	Cue	
Marker 06	2:50.655	0:00.000	decimal	Cue	
Marker 07	2:54.046	0:00.000	decimal	Cue	
Marker 08	3:03.905	0:00.000	decimal	Cue	
Marker 09	3:07.724	0:00.000	decimal	Cue	
Marker 11	3:12.415	0:00.000	decimal	Subclip	
Marker 10	3:13.933	0:00.000	decimal	Cue	
Marker 12	3:19.915	0:00.000	decimal	Cue	
Marker 13	3:25.569	0:00.000	decimal	Cue	
Marker 15	3:33.146	0:00.000	decimal	Cue	
Marker 16	3:37.265	0:00.000	decimal	Cue	
