Name	Start	Duration	Time Format	Type	Description
Marker 01	1:07.968	0:00.000	decimal	Cue	
Marker 02	1:12.956	0:00.000	decimal	Cue	
Marker 03	1:17.944	0:00.000	decimal	Cue	
Marker 04	1:23.612	0:00.000	decimal	Cue	
Marker 05	1:29.520	0:00.000	decimal	Cue	
Marker 06	1:34.036	0:00.000	decimal	Cue	
Marker 07	1:39.570	0:00.000	decimal	Cue	
Marker 08	1:43.630	0:00.000	decimal	Cue	
Marker 20	1:48.386	0:00.000	decimal	Track	
Marker 10	1:51.126	0:00.000	decimal	Cue	
Marker 11	1:58.841	0:00.000	decimal	Cue	
Marker 21	2:02.590	0:00.000	decimal	Cue	
Marker 13	2:06.663	0:00.000	decimal	Cue	
Marker 14	2:15.093	0:00.000	decimal	Cue	
Marker 15	2:19.965	0:00.000	decimal	Cue	
Marker 16	2:25.614	0:00.000	decimal	Cue	
Marker 17	2:31.668	0:00.000	decimal	Cue	
Marker 18	2:41.764	0:00.000	decimal	Cue	
Marker 19	2:49.182	0:00.000	decimal	Cue	
