verse,ar,en,nl
100:1,وَالْعَدِيَتِ ضَبْحًا,"By the racers, panting,",Bij de snuivend voortrennenden.
100:2,فَالْمُورِيَتِ قَدْحًا,And the producers of sparks [when] striking,Die vonken slaan.
100:3,فَالْمُغِيرَتِ صُبْحًا,"And the chargers at dawn,",Die in de ochtendschemering aanvallen.
100:4,فَأَثَرْنَ بِهِ نَقْعًا,"Stirring up thereby [clouds of] dust,",Die daarbij stof opwerpen.
100:5,فَوَسَطْنَ بِهِ جَمْعًا,"Arriving thereby in the center collectively,",Die dan het midden van de gelederen (van de vijand) doorbreken.
,فَوَسَطْنَ بِهِ جَمْعًا,"Arriving thereby in the center collectively,",Die dan het midden van de gelederen (van de vijand) doorbreken.
100:6,إِنَّ الْإِنسَنَ لِرَبِّهِ لَكَنُودٌ,"Indeed mankind, to his Lord, is ungrateful.","Voorwaar, de mens is zijn Heer zeker ondankbaar."
100:7,وَإِنَّهُ عَلَى ذَلِكَ لَشَهِيدٌ,"And indeed, he is to that a witness.","En voorwaar, hij is daar zeker getuige van."
100:8,وَإِنَّهُ لِحُبِّ الْخَيْرِ لَشَدِيدٌ,"And indeed he is, in love of wealth, intense.","En voorwaar, hij heeft zeker een hevige liefde voor bezit."
100:9,أَفَلَا يَعْلَمُ إِذَا بُعْثِرَ مَا فِى الْقُبُورِ,But does he not know that when the contents of the graves are scattered,"Weet hij dan niet dat, wanneer naar buiten wordt gekeerd wat in de graven is."
,أَفَلَا يَعْلَمُ إِذَا بُعْثِرَ مَا فِى الْقُبُورِ,But does he not know that when the contents of the graves are scattered,"Weet hij dan niet dat, wanneer naar buiten wordt gekeerd wat in de graven is."
100:10,وَحُصِّلَ مَا فِى الصُّدُورِ,"And that within the breasts is obtained,",En onthuld wordt wat in de harten is.
100:11,إِنَّ رَبَّهُم بِهِمْ يَوْمَئِذٍ لَّخَبِيرٌ,"Indeed, their Lord with them, that Day, is [fully] Aware.",Dat hun Heer op die Dag zeker Alwetend over hen is?
