Name	Start	Duration	Time Format	Type	Description
Marker 01	0:35.116	0:00.000	decimal	Cue	
Marker 02	0:38.040	0:00.000	decimal	Track	
Marker 03	0:47.731	0:00.000	decimal	Cue	
Marker 05	0:52.720	0:00.000	decimal	Track	
Marker 06	0:56.613	0:00.000	decimal	Track	
Marker 07	1:04.412	0:00.000	decimal	Cue	
Marker 08	1:09.973	0:00.000	decimal	Track	
Marker 09	1:14.266	0:00.000	decimal	Track	
Marker 10	1:18.614	0:00.000	decimal	Cue	
Marker 26	1:27.714	0:00.000	decimal	Subclip	
Marker 11	1:29.026	0:00.000	decimal	Track	
Marker 12	1:35.760	0:00.000	decimal	Track	
Marker 13	1:42.381	0:00.000	decimal	Cue	
Marker 16	1:46.933	0:00.000	decimal	Track	
Marker 17	1:52.800	0:00.000	decimal	Track	
Marker 19	1:58.506	0:00.000	decimal	Track	
Marker 27	2:02.000	0:00.000	decimal	Track	
Marker 20	2:05.157	0:00.000	decimal	Cue	
Marker 21	2:12.120	0:00.000	decimal	Track	
Marker 22	2:18.796	0:00.000	decimal	Cue	
Marker 23	2:28.426	0:00.000	decimal	Track	
Marker 24	2:33.506	0:00.000	decimal	Track	
Marker 25	2:36.502	0:00.000	decimal	Cue	
