verse,ar,en,timestamps
29:53,وَيَسْتَعْجِلُونَكَ بِالْعَذَابِ وَلَوْلَا أَجَلٌ مُّسَمًّى لَّجَاءَهُمُ الْعَذَابُ وَلَيَأْتِيَنَّهُم بَغْتَةً وَهُمْ لَا يَشْعُرُونَ,"And they urge you to hasten the punishment. And if not for [the decree of] a specified term, punishment would have reached them. But it will surely come to them suddenly while they perceive not.",0:12.554
29:54,يَسْتَعْجِلُونَكَ بِالْعَذَابِ,They urge you to hasten the punishment.,0:35.100
,وَإِنَّ,"And indeed,",0:38.186
,جَهَنَّمَ لَمُحِيطَةٌ بِالْكَفِرِينَ,Hell will be encompassing of the disbelievers,0:40.360
29:55,يَوْمَ يَغْشَىهُمُ الْعَذَابُ مِن فَوْقِهِمْ,On the Day the punishment will cover them from above them,0:47.747
,وَمِن تَحْتِ أَرْجُلِهِمْ,and from below their feet,0:52.786
,وَيَقُولُ,"and it is said,",0:56.640
,ذُوقُوا مَا كُنتُمْ تَعْمَلُونَ,"""Taste [the result of] what you used to do.""",0:57.880
29:56,يَعِبَادِىَ الَّذِينَ ءَامَنُوا,"O My servants who have believed,",1:04.466
,إِنَّ أَرْضِى وَسِعَةٌ,"indeed My earth is spacious,",1:10.026
,فَإِيَّىَ فَاعْبُدُونِ,so worship only Me.,1:14.346
29:57,كُلُّ نَفْسٍ ذَائِقَةُ الْمَوْتِ,Every soul will taste death.,1:18.718
,كُلُّ نَفْسٍ ذَائِقَةُ الْمَوْتِ,Every soul will taste death.,1:29.146
,ثُمَّ إِلَيْنَا تُرْجَعُونَ,Then to Us will you be returned.,1:35.826
29:58,وَالَّذِينَ ءَامَنُوا,And those who have believed,1:42.500
,وَعَمِلُوا الصَّلِحَتِ,and done righteous deeds,1:46.933
,لَنُبَوِّئَنَّهُم,We will surely assign to them,1:52.866
,مِّنَ الْجَنَّةِ غُرَفًا,of Paradise [elevated] chambers,1:58.573
,غُرَفًا تَجْرِى مِن تَحْتِهَا الْأَنْهَرُ,"chambers beneath which rivers flow,",2:02.066
,خَلِدِينَ فِيهَا,wherein they abide eternally.,2:05.228
,نِعْمَ أَجْرُ الْعَمِلِينَ,Excellent is the reward of the [righteous] workers,2:12.173
29:59,الَّذِينَ صَبَرُوا وَعَلَى رَبِّهِمْ يَتَوَكَّلُونَ,Who have been patient and upon their Lord rely.,2:18.865
,الَّذِينَ صَبَرُوا وَعَلَى رَبِّهِمْ يَتَوَكَّلُونَ,Who have been patient and upon their Lord rely.,2:28.480
29:60,وَكَأَيِّن مِّن دَابَّةٍ لَّا تَحْمِلُ,And how many a creature carries not its [own] provision.,2:33.533
,رِزْقَهَا اللَّهُ يَرْزُقُهَا وَإِيَّاكُمْ,Allah provides for it and for you.,2:36.872
,وَهُوَ السَّمِيعُ الْعَلِيمُ,"And He is the Hearing, the Knowing.",2:56.868
29:61,وَلَئِن سَأَلْتَهُم مَّنْ خَلَقَ السَّمَوَتِ وَالْأَرْضَ وَسَخَّرَ الشَّمْسَ وَالْقَمَرَ لَيَقُولُنَّ اللَّهُ فَأَنَّى يُؤْفَكُونَ,"If you asked them, ""Who created the heavens and earth and subjected the sun and the moon?"" they would surely say, ""Allāh."" Then how are they deluded?",3:13.506
29:62,اللَّهُ يَبْسُطُ الرِّزْقَ لِمَن يَشَاءُ مِنْ عِبَادِهِ وَيَقْدِرُ لَهُ إِنَّ اللَّهَ بِكُلِّ شَىْءٍ عَلِيمٌ,"Allāh extends provision for whom He wills of His servants and restricts for him. Indeed Allāh is, of all things, Knowing.",3:52.434
29:63,وَلَئِن سَأَلْتَهُم مَّن نَّزَّلَ مِنَ السَّمَاءِ مَاءً فَأَحْيَا بِهِ الْأَرْضَ مِن بَعْدِ مَوْتِهَا لَيَقُولُنَّ اللَّهُ قُلِ الْحَمْدُ لِلَّهِ بَلْ أَكْثَرُهُمْ لَا يَعْقِلُونَ,"And if you asked them, ""Who sends down rain from the sky and gives life thereby to the earth after its lifelessness?"" they would surely say, ""Allāh."" Say, ""Praise to Allāh""; but most of them do not reason.",4:13.174
29:64,وَمَا هَذِهِ الْحَيَوةُ الدُّنْيَا إِلَّا لَهْوٌ وَلَعِبٌ وَإِنَّ الدَّارَ الْءَاخِرَةَ لَهِىَ الْحَيَوَانُ لَوْ كَانُوا يَعْلَمُونَ,"And this worldly life is not but diversion and amusement. And indeed, the home of the Hereafter - that is the [eternal] life, if only they knew.",
