Name	Start	Duration	Time Format	Type	Description
Marker 22	0:14.828	0:00.000	decimal	Cue	
Marker 23	0:19.670	0:00.000	decimal	Cue	
CD Track 09	0:24.520	0:00.000	decimal	Track	
CD Track 02	0:26.973	0:00.000	decimal	Cue	
Marker 24	0:32.122	0:00.000	decimal	Cue	
Marker 25	0:36.806	0:00.000	decimal	Cue	
Marker 26	0:41.402	0:00.000	decimal	Cue	
CD Track 04	0:44.453	0:00.000	decimal	Track	
Marker 27	0:49.066	0:00.000	decimal	Cue	
CD Track 05	0:50.480	0:00.000	decimal	Track	
Marker 28	0:56.122	0:00.000	decimal	Cue	
CD Track 07	1:02.200	0:00.000	decimal	Track	
Marker 29	1:03.875	0:00.000	decimal	Cue	
Marker 01	1:07.839	0:00.000	decimal	Cue	
Marker 02	1:12.671	0:00.000	decimal	Cue	
Marker 03	1:17.827	0:00.000	decimal	Cue	
Marker 04	1:23.520	0:00.000	decimal	Cue	
Marker 05	1:29.350	0:00.000	decimal	Cue	
Marker 06	1:33.949	0:00.000	decimal	Cue	
Marker 07	1:39.365	0:00.000	decimal	Cue	
Marker 08	1:43.557	0:00.000	decimal	Cue	
Marker 20	1:48.253	0:00.000	decimal	Track	
Marker 10	1:51.045	0:00.000	decimal	Cue	
CD Track 11	1:56.080	0:00.000	decimal	Track	
Marker 11	1:58.754	0:00.000	decimal	Cue	
CD Track 12	2:00.800	0:00.000	decimal	Track	
Marker 21	2:02.486	0:00.000	decimal	Cue	
CD Track 13	2:04.226	0:00.000	decimal	Track	
Marker 13	2:06.542	0:00.000	decimal	Cue	
CD Track 14	2:11.053	0:00.000	decimal	Track	
Marker 14	2:15.016	0:00.000	decimal	Cue	
Marker 15	2:19.899	0:00.000	decimal	Cue	
Marker 16	2:25.520	0:00.000	decimal	Cue	
Marker 17	2:31.506	0:00.000	decimal	Cue	
Marker 18	2:41.719	0:00.000	decimal	Cue	
Marker 19	2:49.182	0:00.000	decimal	Cue	
