verse,ar,en,nl,timestamps
88:1,هَلْ أَتَىكَ حَدِيثُ الْغَشِيَةِ,Has there reached you the report of the Overwhelming [event]?,Heeft het nieuws van de overweldigende (gebeurtenis) jou bereikt?,0:14.901
88:2,وُجُوهٌ يَوْمَئِذٍ,"[Some] faces, that Day,",Sommige gezichten zullen op die dag,0:19.780
,خَشِعَةٌ,"will be humbled,",teneergeslagen zijn.,0:24.626
88:3,عَامِلَةٌ نَّاصِبَةٌ,Working [hard] and exhausted.,Werkend en zwoegend.,0:27.098
88:4,تَصْلَى نَارًا حَامِيَةً,They will [enter to] burn in an intensely hot Fire.,Zij zullen een heet laaiend Vuur binnengaan.,0:32.225
88:5,تُسْقَى مِنْ عَيْنٍ ءَانِيَةٍ,They will be given drink from a boiling spring.,Hen wordt te drinken gegeven van een kokende bron.,0:36.910
88:6,لَّيْسَ لَهُمْ طَعَامٌ,For them there will be no food,"Geen voedsel zal er voor hen zijn,",0:41.557
,إِلَّا مِن ضَرِيعٍ,"except from a poisonous, thorny plant",behalve een giftige plant met doornen.,0:44.586
88:7,لَّا يُسْمِنُ,Which neither nourishes,"Dat noch voedzaam zal zijn,",0:49.127
,وَلَا يُغْنِى مِن جُوعٍ,nor avails against hunger.,noch tegen de honger zal helpen.,0:50.546
88:8,وُجُوهٌ يَوْمَئِذٍ,"[Other] faces, that Day,",(Andere) gezichten zullen op die Dag,0:56.152
,نَّاعِمَةٌ,will show pleasure.,verheugd zijn.,1:02.226
88:9,لِّسَعْيِهَا رَاضِيَةٌ,With their effort [they are] satisfied,Over hun streven voldaan.,1:03.965
88:10,فِى جَنَّةٍ عَالِيَةٍ,"In an elevated garden,",In een hooggelegen Tuin (het Paradijs).,1:07.852
88:11,لَّا تَسْمَعُ فِيهَا لَغِيَةً,Wherein they will hear no unsuitable speech.,Waar zij geen kwade spraak noch leugens zullen horen.,1:12.801
88:12,فِيهَا عَيْنٌ جَارِيَةٌ,Within it is a flowing spring.,Daar is een stromende bron.,1:17.827
88:13,فِيهَا سُرُرٌ مَّرْفُوعَةٌ,Within it are couches raised high,Daarin zijn verhoogde rustbanken.,1:23.547
88:14,وَأَكْوَابٌ مَّوْضُوعَةٌ,And cups put in place,En (drink) bekers zullen gereed staan.,1:29.487
88:15,وَنَمَارِقُ مَصْفُوفَةٌ,And cushions lined up,En in rijen gezette kussens.,1:34.025
88:16,وَزَرَابِىُّ مَبْثُوثَةٌ,And carpets spread around.,En uitgerolde tapijten.,1:39.365
88:17,أَفَلَا يَنظُرُونَ إِلَى الْإِبِلِ,Then do they not look at the camels -,Kijken zij dan niet naar hoe de kamelen,1:43.579
,كَيْفَ خُلِقَتْ,how they are created?,zijn geschapen?,1:48.360
88:18,وَإِلَى السَّمَاءِ,And at the sky -,En naar hoe de hemel,1:51.045
,كَيْفَ رُفِعَتْ,how it is raised?,opgeheven is?,1:56.253
88:19,وَإِلَى الْجِبَالِ,And at the mountains -,En naar hoe de bergen,1:58.826
,كَيْفَ نُصِبَتْ,how they are erected?,stevig gegrondvest zijn?,2:00.813
88:20,وَإِلَى الْأَرْضِ,And at the earth -,En naar hoe de aarde,2:02.527
,كَيْفَ سُطِحَتْ,how it is spread out?,uitgespreid is?,2:04.346
88:21,فَذَكِّرْ إِنَّمَا,"So remind, [O Muhammad];",Herinner hen dus: voorwaar:,2:06.618
,أَنتَ مُذَكِّرٌ,you are only a reminder.,jij (O Mohammed) bent slechts een waarschuwer.,2:11.093
88:22,لَّسْتَ عَلَيْهِم بِمُصَيْطِرٍ,You are not over them a controller.,Jij bent over hen geen heerser.,2:15.133
88:23,إِلَّا مَن تَوَلَّى وَكَفَرَ,"However, he who turns away and disbelieves",Maar degene die zich afkeert en ongelovig is.,2:20.000
88:24,فَيُعَذِّبُهُ اللَّهُ الْعَذَابَ الْأَكْبَرَ,Then Allah will punish him with the greatest punishment.,Allah straft hem met de grootste bestraffing.,2:25.589
88:25,إِنَّ إِلَيْنَا إِيَابَهُمْ,"Indeed, to Us is their return.","Waarlijk, tot Ons zullen zij terugkeren.",2:31.588
88:26,ثُمَّ إِنَّ عَلَيْنَا حِسَابَهُم,"Then indeed, upon Us is their account.",Dan zullen Wij rekenschap van hen vragen.,2:41.786
,,,,2:49.182
