Name	Start	Duration	Time Format	Type	Description
Marker 20	0:00.349	0:00.000	decimal	Cue	
Marker 21	0:15.146	0:00.000	decimal	Cue	
Marker 22	0:24.256	0:00.000	decimal	Cue	
Marker 24	0:35.912	0:00.000	decimal	Cue	
Marker 27	0:50.653	0:00.000	decimal	Cue	
Marker 28	1:03.831	0:00.000	decimal	Cue	
Marker 29	1:11.552	0:00.000	decimal	Cue	
Marker 30	1:26.198	0:00.000	decimal	Cue	
Marker 31	1:35.236	0:00.000	decimal	Cue	
Marker 32	2:08.174	0:00.000	decimal	Cue	
Marker 33	2:18.978	0:00.000	decimal	Cue	
Marker 53	2:38.897	0:00.000	decimal	Cue	
Marker 34	2:49.203	0:00.000	decimal	Cue	
Marker 36	3:13.790	0:00.000	decimal	Cue	
Marker 37	3:25.938	0:00.000	decimal	Cue	
Marker 38	3:33.745	0:00.000	decimal	Cue	
Marker 39	3:41.733	0:00.000	decimal	Cue	
Marker 41	3:56.940	0:00.000	decimal	Cue	
Marker 42	4:06.698	0:00.000	decimal	Cue	
Marker 43	4:16.849	0:00.000	decimal	Cue	
Marker 44	4:25.759	0:00.000	decimal	Cue	
Marker 45	4:32.387	0:00.000	decimal	Cue	
Marker 46	4:40.087	0:00.000	decimal	Cue	
Marker 47	4:51.189	0:00.000	decimal	Cue	
Marker 48	4:55.447	0:00.000	decimal	Cue	
Marker 50	4:59.739	0:00.000	decimal	Cue	
Marker 51	5:14.895	0:00.000	decimal	Cue	
Marker 52	5:20.932	0:00.000	decimal	Cue	
Marker 01	5:30.724	0:00.000	decimal	Cue	
Marker 12	5:37.560	0:00.000	decimal	Track	
Marker 03	5:42.702	0:00.000	decimal	Cue	
CD Track 01	5:45.013	0:00.000	decimal	Track	
Marker 04	5:48.098	0:00.000	decimal	Cue	
Marker 16	5:50.773	0:00.000	decimal	Track	
Marker 05	5:55.100	0:00.000	decimal	Cue	
CD Track 02	5:58.453	0:00.000	decimal	Track	
Marker 14	6:00.813	0:00.000	decimal	Track	
Marker 06	6:06.200	0:00.000	decimal	Cue	
CD Track 03	6:08.600	0:00.000	decimal	Track	
Marker 19	6:10.320	0:00.000	decimal	Track	
Marker 07	6:11.573	0:00.000	decimal	Track	
Marker 08	6:16.080	0:00.000	decimal	Track	
Marker 09	6:21.791	0:00.000	decimal	Cue	
Marker 15	6:28.466	0:00.000	decimal	Track	
Marker 11	6:33.000	0:00.000	decimal	Track	
Marker 10	6:37.517	0:00.000	decimal	Cue	
