verse,ar,en,nl,timestamps
19:65,رَّبُّ السَّمَوَتِ وَالْأَرْضِ وَمَا بَيْنَهُمَا فَاعْبُدْهُ وَاصْطَبِرْ لِعِبَدَتِهِ هَلْ تَعْلَمُ لَهُ سَمِيًّا,"Lord of the heavens and the earth and whatever is between them - so worship Him and have patience for His worship. Do you know of any similarity to Him?""","(Hij is de) Heer van de hemelen en de aarde en wat daar tussen is, aanbid Hem daarom en wees standvastig en geduldig in Zijn aanbidding. Ken jij iemand die gelijk aan Hem is?",0:00.447
19:66,وَيَقُولُ الْإِنسَنُ أَءِذَا مَا مِتُّ لَسَوْفَ أُخْرَجُ حَيًّا,"And man [i.e., the disbeliever] says, ""When I have died, am I going to be brought forth alive?""","En de mens zegt: “Als ik dood ben, zal ik dan weer tot leven geroepen worden?”",0:15.154
19:67,أَوَلَا يَذْكُرُ الْإِنسَنُ أَنَّا خَلَقْنَهُ مِن قَبْلُ وَلَمْ يَكُ شَئًْا,"Does man not remember that We created him before, while he was nothing?","Weet de mens niet meer dat Wij hem hiervoor geschapen hebben, toen hij niets was?",0:24.288
19:68,فَوَرَبِّكَ لَنَحْشُرَنَّهُمْ وَالشَّيَطِينَ ثُمَّ لَنُحْضِرَنَّهُمْ حَوْلَ جَهَنَّمَ جِثِيًّا,"So by your Lord, We will surely gather them and the devils; then We will bring them to be present around Hell upon their knees.","Dus bij jouw Heer, zeker, Wij zullen hen verzamelen en (ook) de duivels (met hen). Vervolgens zullen Wij hen op hun knieën de Hel rondleiden.",0:35.933
19:69,ثُمَّ لَنَنزِعَنَّ مِن كُلِّ شِيعَةٍ أَيُّهُمْ أَشَدُّ عَلَى الرَّحْمَنِ عِتِيًّا,Then We will surely extract from every sect those of them who were worst against the Most Merciful in insolence.,Dan zullen Wij uit iedere sekte degenen slepen die het ergst waren in hun brutale opstandigheid tegen de Barmhartige.,0:50.621
19:70,ثُمَّ لَنَحْنُ أَعْلَمُ بِالَّذِينَ هُمْ أَوْلَى بِهَا صِلِيًّا,"Then, surely it is We who are most knowing of those most worthy of burning therein.","Dan, weten Wij het best wie onder ""hen het meest verdienen om daarin te branden.",1:03.828
19:71,وَإِن مِّنكُمْ إِلَّا وَارِدُهَا كَانَ عَلَى رَبِّكَ حَتْمًا مَّقْضِيًّا,And there is none of you except he will come to it. This is upon your Lord an inevitability decreed.,En er is niemand onder jullie of hij treedt daar binnen; dit is een besluit van jullie Heer dat vervuld moet worden.,1:11.552
19:72,ثُمَّ نُنَجِّى الَّذِينَ اتَّقَوا وَّنَذَرُ الظَّلِمِينَ فِيهَا جِثِيًّا,"Then We will save those who feared Allah and leave the wrongdoers within it, on their knees.",Dan zullen Wij degenen redden die Allah vrezen en Hem plichtsgetrouw waren. En Wij zullen de onrechtvaardigen daarin op hun knieën achterlaten.,1:26.123
19:73,وَإِذَا تُتْلَى عَلَيْهِمْ ءَايَتُنَا بَيِّنَتٍ قَالَ الَّذِينَ كَفَرُوا لِلَّذِينَ ءَامَنُوا أَىُّ الْفَرِيقَيْنِ خَيْرٌ مَّقَامًا وَأَحْسَنُ نَدِيًّا,"And when Our verses are recited to them as clear evidences, those who disbelieve say to those who believe, ""Which of [our] two parties is best in position and best in association?""","En als Onze duidelijke Verzen voor hun gereciteerd worden, zeggen degenen die niet geloven tegen degenen die geloven: “Welke van de twee groepen is op een betere plaats en in een beter gezelschap?”",1:35.236
19:74,وَكَمْ أَهْلَكْنَا قَبْلَهُم مِّن قَرْنٍ هُمْ أَحْسَنُ أَثَثًا وَرِءْيًا,And how many a generation have We destroyed before them who were better in possessions and [outward] appearance?,"En hoeveel generaties hebben Wij niet vóór hen vernietigd, die beter waren met betrekking tot welvaart, goederen en uiterlijke verschijning?",2:08.174
