Name	Start	Duration	Time Format	Type	Description
Marker 01	2:45.706	0:00.000	decimal	Cue	
Marker 03	2:55.373	0:00.000	decimal	Track	
CD Track 02	2:58.680	0:00.000	decimal	Track	
CD Track 01	3:03.040	0:00.000	decimal	Track	
Marker 02	3:09.502	0:00.000	decimal	Cue	
CD Track 03	3:18.146	0:00.000	decimal	Track	
Marker 04	3:24.313	0:00.000	decimal	Cue	
CD Track 05	3:27.266	0:00.000	decimal	Track	
CD Track 06	3:29.693	0:00.000	decimal	Track	
CD Track 16	3:32.066	0:00.000	decimal	Track	
CD Track 04	3:34.680	0:00.000	decimal	Track	
CD Track 15	3:40.573	0:00.000	decimal	Track	
Marker 06	3:44.881	0:00.000	decimal	Cue	
CD Track 08	3:46.880	0:00.000	decimal	Track	
CD Track 10	3:53.386	0:00.000	decimal	Track	
CD Track 13	3:56.160	0:00.000	decimal	Track	
CD Track 07	3:59.666	0:00.000	decimal	Track	
CD Track 14	4:02.760	0:00.000	decimal	Track	
Marker 07	4:08.410	0:00.000	decimal	Cue	
