Name	Start	Duration	Time Format	Type	Description
Marker 01	0:35.140	0:00.000	decimal	Cue	
Marker 02	0:38.102	0:00.000	decimal	Cue	
Marker 03	0:47.811	0:00.000	decimal	Cue	
Marker 05	0:52.774	0:00.000	decimal	Cue	
Marker 06	0:56.639	0:00.000	decimal	Cue	
Marker 07	1:04.440	0:00.000	decimal	Cue	
Marker 08	1:10.021	0:00.000	decimal	Cue	
Marker 09	1:14.264	0:00.000	decimal	Cue	
Marker 10	1:18.662	0:00.000	decimal	Cue	
Marker 26	1:27.714	0:00.000	decimal	Subclip	
Marker 11	1:29.153	0:00.000	decimal	Cue	
Marker 12	1:35.801	0:00.000	decimal	Cue	
Marker 13	1:42.445	0:00.000	decimal	Cue	
Marker 16	1:47.000	0:00.000	decimal	Cue	
Marker 17	1:52.862	0:00.000	decimal	Cue	
Marker 19	1:58.564	0:00.000	decimal	Cue	
Marker 27	2:02.074	0:00.000	decimal	Cue	
Marker 20	2:05.225	0:00.000	decimal	Cue	
Marker 21	2:12.155	0:00.000	decimal	Cue	
Marker 22	2:18.932	0:00.000	decimal	Cue	
Marker 23	2:28.564	0:00.000	decimal	Cue	
Marker 24	2:33.554	0:00.000	decimal	Cue	
Marker 25	2:36.502	0:00.000	decimal	Cue	
