Name	Start	Duration	Time Format	Type	Description
Marker 22	0:14.901	0:00.000	decimal	Cue	
Marker 23	0:19.780	0:00.000	decimal	Cue	
CD Track 09	0:24.626	0:00.000	decimal	Track	
CD Track 02	0:27.098	0:00.000	decimal	Cue	
Marker 24	0:32.225	0:00.000	decimal	Cue	
Marker 25	0:36.910	0:00.000	decimal	Cue	
Marker 26	0:41.557	0:00.000	decimal	Cue	
CD Track 04	0:44.586	0:00.000	decimal	Track	
Marker 27	0:49.127	0:00.000	decimal	Cue	
CD Track 05	0:50.546	0:00.000	decimal	Track	
Marker 28	0:56.152	0:00.000	decimal	Cue	
CD Track 07	1:02.226	0:00.000	decimal	Track	
Marker 29	1:03.965	0:00.000	decimal	Cue	
Marker 01	1:07.852	0:00.000	decimal	Cue	
Marker 02	1:12.801	0:00.000	decimal	Cue	
Marker 03	1:17.827	0:00.000	decimal	Cue	
Marker 04	1:23.547	0:00.000	decimal	Cue	
Marker 05	1:29.487	0:00.000	decimal	Cue	
Marker 06	1:34.025	0:00.000	decimal	Cue	
Marker 07	1:39.365	0:00.000	decimal	Cue	
Marker 08	1:43.579	0:00.000	decimal	Cue	
Marker 20	1:48.360	0:00.000	decimal	Track	
Marker 10	1:51.045	0:00.000	decimal	Cue	
CD Track 11	1:56.253	0:00.000	decimal	Track	
Marker 11	1:58.826	0:00.000	decimal	Cue	
CD Track 12	2:00.813	0:00.000	decimal	Track	
Marker 21	2:02.527	0:00.000	decimal	Cue	
CD Track 13	2:04.346	0:00.000	decimal	Track	
Marker 13	2:06.618	0:00.000	decimal	Cue	
CD Track 14	2:11.093	0:00.000	decimal	Track	
Marker 14	2:15.133	0:00.000	decimal	Cue	
Marker 15	2:20.000	0:00.000	decimal	Cue	
Marker 16	2:25.589	0:00.000	decimal	Cue	
Marker 17	2:31.588	0:00.000	decimal	Cue	
Marker 18	2:41.786	0:00.000	decimal	Cue	
Marker 19	2:49.182	0:00.000	decimal	Cue	
