Name	Start	Duration	Time Format	Type	Description
Marker 17	0:11.578	0:00.000	decimal	Cue	
CD Track 01	0:18.361	0:00.000	decimal	Cue	
Marker 18	0:23.290	0:00.000	decimal	Cue	
Marker 19	0:31.352	0:00.000	decimal	Cue	
Marker 20	0:38.285	0:00.000	decimal	Cue	
Marker 22	0:47.495	0:00.000	decimal	Cue	
CD Track 03	0:52.253	0:00.000	decimal	Track	
CD Track 12	0:54.933	0:00.000	decimal	Track	
Marker 23	0:58.228	0:00.000	decimal	Cue	
Marker 24	1:06.900	0:00.000	decimal	Cue	
CD Track 04	1:09.266	0:00.000	decimal	Track	
Marker 25	1:13.981	0:00.000	decimal	Cue	
CD Track 05	1:17.080	0:00.000	decimal	Track	
CD Track 06	1:23.746	0:00.000	decimal	Track	
CD Track 11	1:29.040	0:00.000	decimal	Track	
Marker 26	1:32.688	0:00.000	decimal	Cue	
CD Track 07	1:36.333	0:00.000	decimal	Track	
Marker 27	1:41.584	0:00.000	decimal	Cue	
CD Track 14	1:44.533	0:00.000	decimal	Track	
CD Track 08	1:47.906	0:00.000	decimal	Track	
Marker 28	1:51.548	0:00.000	decimal	Cue	
CD Track 13	1:54.640	0:00.000	decimal	Track	
CD Track 09	1:56.973	0:00.000	decimal	Track	
Marker 29	2:00.801	0:00.000	decimal	Cue	
Marker 30	2:11.783	0:00.000	decimal	Cue	
Marker 01	2:21.852	0:00.000	decimal	Cue	
Marker 02	2:25.813	0:00.000	decimal	Track	
Marker 03	2:31.780	0:00.000	decimal	Cue	
Marker 05	2:40.613	0:00.000	decimal	Track	
Marker 06	2:50.666	0:00.000	decimal	Track	
Marker 07	2:54.066	0:00.000	decimal	Track	
Marker 08	3:04.015	0:00.000	decimal	Cue	
Marker 09	3:07.746	0:00.000	decimal	Track	
Marker 11	3:12.415	0:00.000	decimal	Subclip	
Marker 10	3:13.879	0:00.000	decimal	Cue	
Marker 12	3:19.933	0:00.000	decimal	Track	
Marker 13	3:25.549	0:00.000	decimal	Cue	
Marker 15	3:33.106	0:00.000	decimal	Track	
Marker 16	3:37.279	0:00.000	decimal	Cue	
CD Track 10	3:42.533	0:00.000	decimal	Track	
Marker 31	3:52.770	0:00.000	decimal	Cue	
Marker 32	5:45.885	0:00.000	decimal	Cue	
