verse,ar,en,nl,timestamps
10:3,إِنَّ رَبَّكُمُ اللَّهُ الَّذِى خَلَقَ السَّمَوَتِ وَالْأَرْضَ فِى سِتَّةِ أَيَّامٍ ثُمَّ اسْتَوَى عَلَى الْعَرْشِ يُدَبِّرُ الْأَمْرَ مَا مِن شَفِيعٍ إِلَّا مِن بَعْدِ إِذْنِهِ ذَلِكُمُ اللَّهُ رَبُّكُمْ فَاعْبُدُوهُ أَفَلَا تَذَكَّرُونَ,"Indeed, your Lord is Allah, who created the heavens and the earth in six days and then established Himself above the Throne, arranging the matter [of His creation]. There is no intercessor except after His permission. That is Allah, your Lord, so worship Him. Then will you not remember?","Voorwaar, jullie Heer is Allah, Die de hemelen en de aarde in zes dagen (perioden) heeft geschapen, en Hij zetelde zich op de Troon. Hij regelt het bestuur, en er is geen voorspreker, behalve na Zijn verlof Dat is Allah, jullie Heer, aanbidt daarom Hem. Laten jullie je niet vermanen?",0:01.330
10:4,إِلَيْهِ مَرْجِعُكُمْ جَمِيعًا وَعْدَ اللَّهِ حَقًّا إِنَّهُ يَبْدَؤُا الْخَلْقَ ثُمَّ يُعِيدُهُ لِيَجْزِىَ الَّذِينَ ءَامَنُوا وَعَمِلُوا الصَّلِحَتِ بِالْقِسْطِ وَالَّذِينَ كَفَرُوا لَهُمْ شَرَابٌ مِّنْ حَمِيمٍ وَعَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْفُرُونَ,"To Him is your return all together. [It is] the promise of Allah [which is] truth. Indeed, He begins the [process of] creation and then repeats it that He may reward those who have believed and done righteous deeds, in justice. But those who disbelieved will have a drink of scalding water and a painful punishment for what they used to deny.","Bij Hem is jullie plaats van terugkeer van jullie allen, als een ware belofte van Allah. Voorwaar, Hij begint de schepping en vervolgens herhaalt Hij deze, opdat Hij degenen die geloven en goede werken verrichten rechtvaardig zal belonen. En degenen die niet geloven, voor hen zijn er kokende dranken en een pijnlijke bestraffing wegens wat zij niet geloofden.",0:49.476
10:5,هُوَ الَّذِى جَعَلَ الشَّمْسَ ضِيَاءً وَالْقَمَرَ نُورًا وَقَدَّرَهُ مَنَازِلَ لِتَعْلَمُوا عَدَدَ السِّنِينَ وَالْحِسَابَ مَا خَلَقَ اللَّهُ ذَلِكَ إِلَّا بِالْحَقِّ يُفَصِّلُ الْءَايَتِ لِقَوْمٍ يَعْلَمُونَ,It is He who made the sun a shining light and the moon a derived light and determined for it phases - that you may know the number of years and account [of time]. Allah has not created this except in truth. He details the signs for a people who know.,Hij is Degene Die de zon heeft gemaakt tot een (stralend) schijnsel en de maan tot een licht en Hij bepaalde haar standen opdat jullie de jaartelling zouden kennen en de (tijds-)berekening. Allah heeft dat slechts in Waarheid geschapen. Hij zet de Tekenen uiteen aan een volk dat weet.,1:40.499
10:6,إِنَّ فِى اخْتِلَفِ الَّيْلِ وَالنَّهَارِ وَمَا خَلَقَ اللَّهُ فِى السَّمَوَتِ وَالْأَرْضِ لَءَايَتٍ لِّقَوْمٍ يَتَّقُونَ,"Indeed, in the alternation of the night and the day and [in] what Allah has created in the heavens and the earth are signs for a people who fear Allah.","Voorwaar, in de afwisseling van nacht en dag en (in) wat Allah heeft geschapen in de hemelen en op de aarde zijn zeker Tekenen voor een volk dat (Allah) vreest.",2:15.021
10:7,إِنَّ الَّذِينَ لَا يَرْجُونَ لِقَاءَنَا,"Indeed, those who do not expect the meeting with Us","Voorwaar, degenen die de ontmoeting met Ons niet verwachten",2:45.706
,وَرَضُوا بِالْحَيَوةِ الدُّنْيَا,and are satisfied with the life of this world,en die tevreden zijn met het wereldse leven,2:55.373
,وَاطْمَأَنُّوا بِهَا,and feel secure therein,en die zich er gerust in voelen,2:58.680
,وَالَّذِينَ هُمْ عَنْ ءَايَتِنَا غَفِلُونَ,and those who are heedless of Our signs -,en zij die achteloos tegenover Onze Tekenen staan.,3:03.040
10:8,أُولَئِكَ مَأْوَىهُمُ النَّارُ,For those their refuge will be the Fire,"Zij zijn degenen wiens verblijfplaats de Hel is,",3:09.502
,بِمَا كَانُوا يَكْسِبُونَ,because of what they used to earn.,wegens wat zij plachten te verrichten.,3:18.146
