Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
CD Track 01	0:02.093	0:00.000	decimal	Track	
CD Track 02	0:04.680	0:00.000	decimal	Track	
CD Track 03	0:09.280	0:00.000	decimal	Track	
CD Track 04	0:11.960	0:00.000	decimal	Track	
CD Track 05	0:16.573	0:00.000	decimal	Track	
Marker 02	0:21.088	0:00.000	decimal	Cue	
CD Track 06	0:27.386	0:00.000	decimal	Track	
CD Track 07	0:30.586	0:00.000	decimal	Track	
CD Track 08	0:33.746	0:00.000	decimal	Track	
Marker 03	0:37.365	0:00.000	decimal	Cue	
CD Track 09	0:44.000	0:00.000	decimal	Track	
CD Track 10	0:47.426	0:00.000	decimal	Track	
Marker 04	0:49.953	0:00.000	decimal	Cue	
