verse,ar,en,timestamps
25:60,وَإِذَا قِيلَ لَهُمُ,"And when it is said to them,",0:00.000
,ٱسْجُدُوا لِلرَّحْمَـٰنِ,"""Prostrate to the Most Merciful,""",0:02.093
,قَالُوا وَمَا ٱلرَّحْمَـٰنُ,"they say, ""And what is the Most Merciful?",0:04.680
,قَالُوا وَمَا ٱلرَّحْمَـٰنُ,"they say, ""And what is the Most Merciful?",0:09.280
,أَنَسْجُدُ لِمَا تَأْمُرُنَا,"Should we prostrate to that which you order us?""",0:11.960
,وَزَادَهُمْ نُفُورًا ۩,And it increases them in aversion.,0:16.573
25:61,تَبَارَكَ ٱلَّذِى جَعَلَ فِى ٱلسَّمَآءِ بُرُوجًا,Blessed is He who has placed in the sky great stars,0:21.088
,وَجَعَلَ فِيهَا سِرَٰجًا,and placed therein a [burning] lamp,0:27.386
,وَجَعَلَ فِيهَا سِرَٰجًا,and placed therein a [burning] lamp,0:30.586
,وَقَمَرًا مُّنِيرًا,and luminous moon.,0:33.746
25:62,وَهُوَ ٱلَّذِى جَعَلَ ٱلَّيْلَ وَٱلنَّهَارَ خِلْفَةً,And it is He who has made the night and the day in succession,0:37.365
,لِّمَنْ أَرَادَ أَن يَذَّكَّرَ,for whoever desires to remember,0:44.000
,أَوْ أَرَادَ شُكُورًا,or desires gratitude.,0:47.426
,,,0:49.953
