Name	Start	Duration	Time Format	Type	Description
Marker 02	0:07.049	0:00.000	decimal	Cue	
Marker 03	0:08.752	0:00.000	decimal	Cue	
Marker 04	0:17.637	0:00.000	decimal	Cue	
Marker 05	0:22.564	0:00.000	decimal	Cue	
Marker 06	0:31.440	0:00.000	decimal	Cue	
Marker 07	0:35.703	0:00.000	decimal	Cue	
Marker 08	0:44.840	0:00.000	decimal	Cue	
Marker 09	0:53.490	0:00.000	decimal	Cue	
Marker 10	1:04.304	0:00.000	decimal	Cue	
Marker 11	1:08.400	0:00.000	decimal	Cue	
Marker 13	1:31.792	0:00.000	decimal	Cue	
Marker 14	1:39.952	0:00.000	decimal	Cue	
Marker 15	1:51.471	0:00.000	decimal	Cue	
Marker 01	1:56.840	0:00.000	decimal	Cue	
CD Track 01	2:08.253	0:00.000	decimal	Track	
Marker 04	2:13.531	0:00.000	decimal	Cue	
CD Track 02	2:19.813	0:00.000	decimal	Track	
Marker 06	2:25.482	0:00.000	decimal	Cue	
CD Track 03	2:29.840	0:00.000	decimal	Track	
CD Track 04	2:33.893	0:00.000	decimal	Track	
Marker 07	2:35.235	0:00.000	decimal	Cue	
Marker 16	2:39.933	0:00.000	decimal	Cue	
Marker 17	2:51.906	0:00.000	decimal	Cue	
Marker 18	2:55.248	0:00.000	decimal	Cue	
Marker 20	3:01.663	0:00.000	decimal	Cue	
Marker 21	3:16.571	0:00.000	decimal	Cue	
Marker 22	3:31.600	0:00.000	decimal	Cue	
Marker 23	3:31.600	0:00.000	decimal	Cue	
Marker 24	3:36.122	0:00.000	decimal	Cue	
Marker 25	3:41.723	0:00.000	decimal	Cue	
Marker 27	3:48.424	0:00.000	decimal	Cue	
Marker 28	3:52.368	0:00.000	decimal	Cue	
Marker 29	3:57.242	0:00.000	decimal	Cue	
Marker 30	3:59.785	0:00.000	decimal	Cue	
Marker 31	4:04.194	0:00.000	decimal	Cue	
Marker 32	4:06.452	0:00.000	decimal	Cue	
Marker 33	4:09.924	0:00.000	decimal	Cue	
Marker 34	4:13.892	0:00.000	decimal	Cue	
Marker 35	4:17.592	0:00.000	decimal	Cue	
Marker 36	4:20.451	0:00.000	decimal	Cue	
Marker 38	4:26.738	0:00.000	decimal	Cue	
Marker 39	4:31.715	0:00.000	decimal	Cue	
Marker 40	4:36.761	0:00.000	decimal	Cue	
Marker 41	4:43.960	0:00.000	decimal	Cue	
Marker 42	5:08.616	0:00.000	decimal	Cue	
Marker 43	5:48.000	0:00.000	decimal	Cue	
Marker 44	5:51.147	0:00.000	decimal	Cue	
Marker 45	5:58.894	0:00.000	decimal	Cue	
Marker 49	6:05.251	0:00.000	decimal	Cue	
Marker 50	6:13.098	0:00.000	decimal	Cue	
Marker 51	6:25.880	0:00.000	decimal	Cue	
Marker 52	6:37.609	0:00.000	decimal	Cue	
Marker 53	7:03.075	0:00.000	decimal	Cue	
Marker 54	7:14.936	0:00.000	decimal	Cue	
Marker 57	7:19.483	0:00.000	decimal	Cue	
Marker 58	7:29.984	0:00.000	decimal	Cue	
Marker 59	7:34.511	0:00.000	decimal	Cue	
Marker 60	7:45.000	0:00.000	decimal	Cue	
Marker 62	8:17.530	0:00.000	decimal	Cue	
Marker 63	8:29.034	0:00.000	decimal	Cue	
Marker 64	8:39.152	0:00.000	decimal	Cue	
Marker 65	8:46.443	0:00.000	decimal	Cue	
Marker 66	8:54.149	0:00.000	decimal	Cue	
Marker 67	9:16.409	0:00.000	decimal	Cue	
Marker 68	9:25.541	0:00.000	decimal	Cue	
Marker 70	9:33.011	0:00.000	decimal	Cue	
Marker 71	9:50.433	0:00.000	decimal	Cue	
Marker 72	9:59.066	0:00.000	decimal	Cue	
Marker 73	10:15.880	0:00.000	decimal	Cue	
Marker 74	10:25.786	0:00.000	decimal	Cue	
Marker 75	10:41.672	0:00.000	decimal	Cue	
Marker 78	10:53.616	0:00.000	decimal	Cue	
Marker 80	10:59.897	0:00.000	decimal	Cue	
Marker 81	11:10.712	0:00.000	decimal	Cue	
Marker 82	11:30.751	0:00.000	decimal	Cue	
Marker 85	11:43.000	0:00.000	decimal	Cue	
Marker 86	12:15.113	0:00.000	decimal	Cue	
Marker 87	12:38.059	0:00.000	decimal	Cue	
Marker 88	13:08.059	0:00.000	decimal	Cue	
Marker 90	13:22.930	0:00.000	decimal	Cue	
Marker 91	13:44.485	0:00.000	decimal	Cue	
Marker 92	14:02.236	0:00.000	decimal	Cue	
Marker 93	14:20.677	0:00.000	decimal	Cue	
Marker 94	14:30.228	0:00.000	decimal	Cue	
Marker 95	14:35.327	0:00.000	decimal	Cue	
Marker 96	14:56.269	0:00.000	decimal	Cue	
Marker 97	15:13.305	0:00.000	decimal	Cue	
Marker 98	15:24.606	0:00.000	decimal	Cue	
Marker 99	15:32.095	0:00.000	decimal	Cue	
Marker 100	15:42.731	0:00.000	decimal	Cue	
Marker 102	15:53.170	0:00.000	decimal	Cue	
Marker 103	16:31.430	0:00.000	decimal	Cue	
Marker 105	16:59.178	0:00.000	decimal	Cue	
Marker 106	17:16.000	0:00.000	decimal	Cue	
Marker 107	17:29.016	0:00.000	decimal	Cue	
Marker 108	17:51.297	0:00.000	decimal	Cue	
Marker 109	18:00.953	0:00.000	decimal	Cue	
Marker 111	18:08.149	0:00.000	decimal	Cue	
Marker 112	18:13.125	0:00.000	decimal	Cue	
Marker 113	18:45.998	0:00.000	decimal	Cue	
Marker 114	18:50.309	0:00.000	decimal	Cue	
Marker 115	19:04.966	0:00.000	decimal	Cue	
Marker 117	19:39.684	0:00.000	decimal	Cue	
Marker 118	19:55.858	0:00.000	decimal	Cue	
Marker 119	20:09.463	0:00.000	decimal	Cue	
Marker 120	20:17.624	0:00.000	decimal	Cue	
Marker 121	20:26.278	0:00.000	decimal	Cue	
Marker 122	20:34.441	0:00.000	decimal	Cue	
Marker 123	20:40.694	0:00.000	decimal	Cue	
Marker 124	20:51.376	0:00.000	decimal	Cue	
Marker 126	20:59.462	0:00.000	decimal	Cue	
Marker 128	21:02.860	0:00.000	decimal	Cue	
Marker 129	21:09.531	0:00.000	decimal	Cue	
Marker 130	21:24.249	0:00.000	decimal	Cue	
Marker 131	21:35.196	0:00.000	decimal	Cue	
Marker 132	21:43.579	0:00.000	decimal	Cue	
Marker 133	21:54.000	0:00.000	decimal	Cue	
Marker 135	22:04.740	0:00.000	decimal	Cue	
Marker 136	22:24.371	0:00.000	decimal	Cue	
Marker 137	22:42.158	0:00.000	decimal	Cue	
Marker 138	22:53.581	0:00.000	decimal	Cue	
Marker 139	23:06.000	0:00.000	decimal	Cue	
Marker 140	23:21.644	0:00.000	decimal	Cue	
Marker 141	23:28.135	0:00.000	decimal	Cue	
Marker 142	23:33.497	0:00.000	decimal	Cue	
Marker 143	23:46.899	0:00.000	decimal	Cue	
Marker 144	24:07.724	0:00.000	decimal	Cue	
Marker 145	24:14.383	0:00.000	decimal	Cue	
Marker 147	24:39.064	0:00.000	decimal	Cue	
Marker 148	24:53.234	0:00.000	decimal	Cue	
Marker 150	25:12.565	0:00.000	decimal	Cue	
Marker 151	25:27.254	0:00.000	decimal	Cue	
Marker 152	25:43.610	0:00.000	decimal	Cue	
Marker 153	25:53.804	0:00.000	decimal	Cue	
Marker 156	26:17.744	0:00.000	decimal	Cue	
Marker 157	26:36.628	0:00.000	decimal	Cue	
Marker 158	26:49.742	0:00.000	decimal	Cue	
Marker 159	27:02.454	0:00.000	decimal	Cue	
Marker 161	27:27.540	0:00.000	decimal	Cue	
Marker 162	27:41.946	0:00.000	decimal	Cue	
