Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.410	0:00.000	decimal	Cue	
CD Track 01	0:10.786	0:00.000	decimal	Track	
Marker 02	0:16.933	0:00.000	decimal	Cue	
CD Track 04	0:18.493	0:00.000	decimal	Track	
CD Track 03	0:24.533	0:00.000	decimal	Track	
Marker 03	0:33.362	0:00.000	decimal	Cue	
CD Track 05	0:37.693	0:00.000	decimal	Track	
Marker 04	0:42.298	0:00.000	decimal	Cue	
CD Track 06	0:45.146	0:00.000	decimal	Track	
Marker 05	0:53.016	0:00.000	decimal	Cue	
CD Track 07	1:01.693	0:00.000	decimal	Track	
CD Track 08	1:05.226	0:00.000	decimal	Track	
CD Track 09	1:10.946	0:00.000	decimal	Track	
CD Track 10	1:13.720	0:00.000	decimal	Track	
Marker 07	1:21.896	0:00.000	decimal	Cue	
