verse,ar,en,timestamps
43:67,ٱلْأَخِلَّآءُ يَوْمَئِذٍۭ بَعْضُهُمْ لِبَعْضٍ عَدُوٌّ,"Close friends, that Day, will be enemies to each other,",0:00.410
,إِلَّا ٱلْمُتَّقِينَ,except for the righteous,0:10.786
43:68,يَـٰعِبَادِ,"[To whom Allah will say], ""O My servants,",0:16.933
,لَا خَوْفٌ عَلَيْكُمُ ٱلْيَوْمَ,"no fear will there be concerning you this Day,",0:18.493
,وَلَآ أَنتُمْ تَحْزَنُونَ,"nor will you grieve,",0:24.533
43:69,ٱلَّذِينَ ءَامَنُوا بِـَٔايَـٰتِنَا,[You] who believed in Our verses,0:33.362
,وَكَانُوا مُسْلِمِينَ,and were Muslims.,0:37.693
43:70,ٱدْخُلُوا ٱلْجَنَّةَ,"Enter Paradise,",0:42.298
,أَنتُمْ وَأَزْوَٰجُكُمْ تُحْبَرُونَ,"you and your kinds, delighted.""",0:45.146
43:71,يُطَافُ عَلَيْهِم بِصِحَافٍ مِّن ذَهَبٍ,Circulated among them will be plates,0:53.016
,وَأَكْوَابٍ ۖ,and vessels of gold.,1:01.693
,وَفِيهَا مَا تَشْتَهِيهِ ٱلْأَنفُسُ,And therein is whatever the souls desire,1:05.226
,وَتَلَذُّ ٱلْأَعْيُنُ ۖ,"and [what] delights the eyes,",1:10.946
,وَأَنتُمْ فِيهَا خَـٰلِدُونَ,and you will abide therein eternally.,1:13.720
,,,1:21.896
