verse,ar,en,timestamps
40:41,وَيَـٰقَوْمِ مَا لِىٓ أَدْعُوكُمْ إِلَى ٱلنَّجَوٰةِ,"And O my people, how is it that I invite you to salvation",0:00.024
,وَتَدْعُونَنِىٓ,while you invite me,0:05.613
,وَتَدْعُونَنِىٓ إِلَى ٱلنَّارِ,while you invite me to the Fire?,0:08.266
40:42,تَدْعُونَنِى لِأَكْفُرَ بِٱللَّهِ,You invite me to disbelieve in Allah,0:14.026
,وَأُشْرِكَ بِهِۦ,and associate with Him,0:17.400
,مَا لَيْسَ لِى بِهِۦ عِلْمٌ,"that of which I have no knowledge,",0:19.293
,وَأَنَا۠ أَدْعُوكُمْ إِلَى ٱلْعَزِيزِ ٱلْغَفَّـٰرِ,"and I invite you to the Exalted in Might, the Perpetual Forgiver.",0:22.520
40:43,لَا جَرَمَ أَنَّمَا تَدْعُونَنِىٓ إِلَيْهِ,"Assuredly, that to which you invite me",0:28.317
,لَيْسَ لَهُۥ دَعْوَةٌ,has no [response to a] supplication,0:33.333
,لَيْسَ لَهُۥ دَعْوَةٌ,has no [response to a] supplication,0:35.960
,فِى ٱلدُّنْيَا وَلَا فِى ٱلْـَٔاخِرَةِ,in this world or in the Hereafter;,0:38.760
,وَأَنَّ مَرَدَّنَآ إِلَى ٱللَّهِ,"and indeed, our return is to Allah,",0:42.346
,وَأَنَّ ٱلْمُسْرِفِينَ هُمْ أَصْحَـٰبُ ٱلنَّارِ,"and indeed, the transgressors will be companions of the Fire.",0:49.160
,,,0:56.397
