verse,ar,en,timestamps
99:1,إِذَا زُلْزِلَتِ الْأَرْضُ زِلْزَالَهَا,When the earth is shaken with its [final] earthquake,0:11.804
99:2,وَأَخْرَجَتِ الْأَرْضُ أَثْقَالَهَا,And the earth discharges its burdens,0:15.906
99:3,وَقَالَ الْإِنسَنُ مَا لَهَا,"And man says, ""What is [wrong] with it?"" -",0:19.533
99:4,يَوْمَئِذٍ تُحَدِّثُ أَخْبَارَهَا,"That Day, it will report its news",0:23.480
99:5,بِأَنَّ رَبَّكَ أَوْحَى لَهَا,"Because your Lord has inspired [i.e., commanded] it.",0:28.120
99:6,يَوْمَئِذٍ يَصْدُرُ النَّاسُ أَشْتَاتًا,"That Day, the people will depart separated [into categories]",0:31.986
,لِّيُرَوْا أَعْمَلَهُمْ,to be shown [the result of] their deeds.,0:36.640
99:7,فَمَن يَعْمَلْ مِثْقَالَ ذَرَّةٍ خَيْرًا يَرَهُ,"So whoever does an atom's weight of good will see it,",0:39.080
99:8,وَمَن يَعْمَلْ مِثْقَالَ ذَرَّةٍ شَرًّا يَرَهُ,And whoever does an atom's weight of evil will see it.,0:44.693
,,,0:51.020
