Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.462	0:00.000	decimal	Cue	
Marker 14	0:06.500	0:00.000	decimal	Cue	
Marker 03	0:11.441	0:00.000	decimal	Cue	
Marker 04	0:17.450	0:00.000	decimal	Cue	
Marker 15	0:19.976	0:00.000	decimal	Cue	
Marker 05	0:22.333	0:00.000	decimal	Cue	
Marker 16	0:29.611	0:00.000	decimal	Cue	
Marker 06	0:32.298	0:00.000	decimal	Cue	
Marker 13	0:35.334	0:00.000	decimal	Cue	
Marker 07	0:37.594	0:00.000	decimal	Cue	
Marker 12	0:44.987	0:00.000	decimal	Cue	
Marker 08	0:51.446	0:00.000	decimal	Cue	
Marker 09	0:56.570	0:00.000	decimal	Cue	
Marker 10	0:59.987	0:00.000	decimal	Cue	
Marker 11	1:06.369	0:00.000	decimal	Cue	
