verse,ar,en
,اللَّهُ لَا إِلَهَ إِلَّا هُوَ,"Allah - there is no deity except Him,"
,الْحَىُّ الْقَيُّومُ,"the Ever-Living, the Self-Sustaining."
,لَا تَأْخُذُهُ سِنَةٌ وَلَا نَوْمٌ,Neither drowsiness overtakes Him nor sleep.
,لَّهُ مَا فِى السَّمَوَتِ,To Him belongs whatever is in the heavens
,وَمَا فِى الْأَرْضِ,and whatever is on the earth.
,مَن ذَا الَّذِى يَشْفَعُ عِندَهُ,Who is it that can intercede with Him
,إِلَّا بِإِذْنِهِ,except by His permission?
,يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ,He knows what is [presently] before them
,وَمَا خَلْفَهُمْ,"and what will be after them,"
,وَلَا يُحِيطُونَ بِشَىْءٍ مِّنْ عِلْمِهِ,and they encompass not a thing of His knowledge
,إِلَّا بِمَا شَاءَ,except for what He wills.
,وَسِعَ كُرْسِيُّهُ السَّمَوَتِ وَالْأَرْضَ,"His Kursi extends over the heavens and the earth,"
,وَلَا ئَُودُهُ حِفْظُهُمَا,and their preservation tires Him not.
,وَهُوَ الْعَلِىُّ الْعَظِيمُ,"And He is the Most High, the Most Great."
