verse,ar,en,timestamps
,اللَّهُ نُورُ السَّمَوَتِ وَالْأَرْضِ,Allah is the Light of the heavens and the earth.,0:06.877
,مَثَلُ نُورِهِ كَمِشْكَوةٍ فِيهَا مِصْبَاحٌ,The example of His light is like a niche within which is a lamp;,0:12.160
,الْمِصْبَاحُ فِى زُجَاجَةٍ,"the lamp is within glass,",0:21.773
,الزُّجَاجَةُ كَأَنَّهَا كَوْكَبٌ دُرِّىٌّ,the glass as if it were a pearly [white] star,0:26.013
,يُوقَدُ مِن شَجَرَةٍ مُّبَرَكَةٍ,"lit from [the oil of] a blessed tree,",0:32.480
,مِن شَجَرَةٍ مُّبَرَكَةٍ زَيْتُونَةٍ,"from [the oil of] a blessed olive tree,",0:38.613
,لَّا شَرْقِيَّةٍ وَلَا غَرْبِيَّةٍ,"neither of the east nor of the west,",0:45.653
,يَكَادُ زَيْتُهَا يُضِىءُ وَلَوْ لَمْ تَمْسَسْهُ نَارٌ,whose oil would almost glow even if untouched by fire.,0:51.480
,نُّورٌ عَلَى نُورٍ,Light upon light.,1:02.853
,نُّورٌ عَلَى نُورٍ,Light upon light.,1:07.253
,يَهْدِى اللَّهُ لِنُورِهِ مَن يَشَاءُ,Allah guides to His light whom He wills.,1:11.800
,وَيَضْرِبُ اللَّهُ الْأَمْثَلَ لِلنَّاسِ,"And Allah presents examples for the people,",1:21.840
,وَاللَّهُ بِكُلِّ شَىْءٍ عَلِيمٌ,and Allah is Knowing of all things.,1:29.813
,,,1:36.969
