verse,ar,en,timestamps
,لَوْ أَنزَلْنَا هَذَا الْقُرْءَانَ عَلَى جَبَلٍ,"If We had sent down this Qur’an upon a mountain,",0:14.334
,لَّرَأَيْتَهُ خَشِعًا,you would have seen it humbled,0:20.093
,لَّرَأَيْتَهُ خَشِعًا,you would have seen it humbled,0:24.000
,مُّتَصَدِّعًا مِّنْ خَشْيَةِ اللَّهِ,and splitting from fear of Allah.,0:27.053
,وَتِلْكَ الْأَمْثَلُ نَضْرِبُهَا لِلنَّاسِ,And these examples We present to the people,0:34.413
,لَعَلَّهُمْ يَتَفَكَّرُونَ,that perhaps they will give thought.,0:38.893
,هُوَ اللَّهُ,"He is Allah,",0:43.730
,هُوَ اللَّهُ الَّذِى لَا إِلَهَ إِلَّا هُوَ,"He is Allah, other than whom there is no deity,",0:47.680
,عَلِمُ الْغَيْبِ وَالشَّهَدَةِ,Knower of the unseen and the witnessed.,0:53.746
,هُوَ الرَّحْمَنُ الرَّحِيمُ,"He is the Entirely Merciful, the Especially Merciful.",0:56.933
,هُوَ اللَّهُ,"He is Allah,",1:01.601
,هُوَ اللَّهُ الَّذِى لَا إِلَهَ إِلَّا هُوَ,"He is Allah, other than whom there is no deity,",1:05.160
,الْمَلِكُ الْقُدُّوسُ السَّلَمُ,"the Sovereign, the Pure, the Perfection,",1:12.786
,الْمُؤْمِنُ الْمُهَيْمِنُ,"the Grantor of Security, the Overseer,",1:15.706
,الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ,"the Exalted in Might, the Compeller, the Superior.",1:17.813
,سُبْحَنَ اللَّهِ عَمَّا يُشْرِكُونَ,Exalted is Allah above whatever they associate with Him.,1:22.160
,هُوَ اللَّهُ,"He is Allah,",1:28.200
,هُوَ اللَّهُ الْخَلِقُ الْبَارِئُ الْمُصَوِّرُ,"He is Allah, the Creator, the Producer, the Fashioner;",1:33.622
,لَهُ الْأَسْمَاءُ الْحُسْنَى,to Him belong the best names.,1:37.680
,يُسَبِّحُ لَهُ مَا فِى السَّمَوَتِ وَالْأَرْضِ,Whatever is in the heavens and earth is exalting Him.,1:42.786
,وَهُوَ الْعَزِيزُ الْحَكِيمُ,"And He is the Exalted in Might, the Wise.",1:47.400
,,,1:52.785
