Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.462	0:00.000	decimal	Cue	
Marker 14	0:06.733	0:00.000	decimal	Track	
Marker 03	0:11.440	0:00.000	decimal	Track	
Marker 04	0:17.453	0:00.000	decimal	Track	
Marker 15	0:20.066	0:00.000	decimal	Track	
Marker 05	0:22.413	0:00.000	decimal	Track	
Marker 16	0:29.613	0:00.000	decimal	Track	
Marker 06	0:32.293	0:00.000	decimal	Track	
Marker 13	0:35.333	0:00.000	decimal	Track	
Marker 07	0:37.600	0:00.000	decimal	Track	
Marker 12	0:44.986	0:00.000	decimal	Track	
Marker 08	0:51.440	0:00.000	decimal	Track	
Marker 09	0:56.573	0:00.000	decimal	Track	
Marker 10	1:00.026	0:00.000	decimal	Track	
Marker 11	1:06.369	0:00.000	decimal	Cue	
