Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.647	0:00.000	decimal	Cue	
CD Track 02	0:07.386	0:00.000	decimal	Track	
CD Track 01	0:12.653	0:00.000	decimal	Track	
CD Track 05	0:15.400	0:00.000	decimal	Track	
CD Track 04	0:23.053	0:00.000	decimal	Track	
CD Track 07	0:27.546	0:00.000	decimal	Track	
CD Track 06	0:32.186	0:00.000	decimal	Track	
CD Track 08	0:35.840	0:00.000	decimal	Track	
CD Track 10	0:41.026	0:00.000	decimal	Track	
CD Track 09	0:48.293	0:00.000	decimal	Track	
CD Track 13	0:52.253	0:00.000	decimal	Track	
Marker 02	0:56.104	0:00.000	decimal	Cue	
