Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
Marker 02	0:06.254	0:00.000	decimal	Cue	
Marker 03	0:13.041	0:00.000	decimal	Cue	
Marker 05	0:20.640	0:00.000	decimal	Cue	
Marker 06	0:28.366	0:00.000	decimal	Cue	
Marker 07	0:34.596	0:00.000	decimal	Cue	
Marker 08	0:39.166	0:00.000	decimal	Cue	
Marker 47	0:41.828	0:00.000	decimal	Cue	
Marker 48	0:43.819	0:00.000	decimal	Cue	
Marker 09	0:47.501	0:00.000	decimal	Cue	
Marker 10	0:55.425	0:00.000	decimal	Cue	
Marker 12	0:57.967	0:00.000	decimal	Cue	
Marker 13	1:03.283	0:00.000	decimal	Cue	
Marker 14	1:12.337	0:00.000	decimal	Cue	
Marker 15	1:18.385	0:00.000	decimal	Cue	
Marker 16	1:22.055	0:00.000	decimal	Cue	
CD Track 01	1:25.613	0:00.000	decimal	Track	
Marker 17	1:27.619	0:00.000	decimal	Cue	
CD Track 02	1:31.706	0:00.000	decimal	Track	
Marker 18	1:33.680	0:00.000	decimal	Cue	
CD Track 03	1:36.053	0:00.000	decimal	Track	
Marker 19	1:38.812	0:00.000	decimal	Cue	
Marker 20	1:44.864	0:00.000	decimal	Cue	
Marker 22	1:49.395	0:00.000	decimal	Cue	
Marker 23	1:52.720	0:00.000	decimal	Cue	
Marker 24	1:57.703	0:00.000	decimal	Cue	
Marker 25	2:01.047	0:00.000	decimal	Cue	
Marker 26	2:06.321	0:00.000	decimal	Cue	
Marker 27	2:12.324	0:00.000	decimal	Cue	
Marker 28	2:18.472	0:00.000	decimal	Cue	
Marker 29	2:24.490	0:00.000	decimal	Cue	
Marker 30	2:30.591	0:00.000	decimal	Cue	
Marker 31	2:35.070	0:00.000	decimal	Cue	
Marker 32	2:40.654	0:00.000	decimal	Cue	
Marker 33	2:44.227	0:00.000	decimal	Cue	
Marker 34	2:48.504	0:00.000	decimal	Cue	
Marker 35	2:55.559	0:00.000	decimal	Cue	
Marker 39	2:58.417	0:00.000	decimal	Cue	
Marker 40	3:02.774	0:00.000	decimal	Cue	
Marker 41	3:09.039	0:00.000	decimal	Cue	
Marker 43	3:15.802	0:00.000	decimal	Cue	
Marker 44	3:22.294	0:00.000	decimal	Cue	
Marker 45	3:28.329	0:00.000	decimal	Cue	
Marker 46	3:36.891	0:00.000	decimal	Cue	
