verse,ar,en,timestamps
75:1,لَا أُقْسِمُ بِيَوْمِ الْقِيَمَةِ,I swear by the Day of Resurrection,0:00.000
75:2,وَلَا أُقْسِمُ بِالنَّفْسِ اللَّوَّامَةِ,And I swear by the reproaching soul [to the certainty of resurrection].,0:06.254
75:3,أَيَحْسَبُ الْإِنسَنُ أَلَّن نَّجْمَعَ عِظَامَهُ,Does man think that We will not assemble his bones?,0:13.041
75:4,بَلَى قَدِرِينَ عَلَى أَن نُّسَوِّىَ بَنَانَهُ,Yes. [We are] Able [even] to proportion his fingertips.,0:20.640
75:5,بَلْ يُرِيدُ الْإِنسَنُ لِيَفْجُرَ أَمَامَهُ,But man desires to continue in sin.,0:28.366
75:6,يَسَْٔلُ أَيَّانَ يَوْمُ الْقِيَمَةِ,"He asks, ""When is the Day of Resurrection?""",0:34.596
75:7,فَإِذَا بَرِقَ الْبَصَرُ,So when vision is dazzled.,0:39.166
75:8,وَخَسَفَ الْقَمَرُ,And the moon darkens.,0:41.828
75:9,وَجُمِعَ الشَّمْسُ وَالْقَمَرُ,"And the sun and the moon are joined,",0:43.819
75:10,يَقُولُ الْإِنسَنُ يَوْمَئِذٍ أَيْنَ الْمَفَرُّ,"Man will say on that Day, ""Where is the [place of] escape?""",0:47.501
75:11,كَلَّا لَا وَزَرَ,No! There is no refuge.,0:55.425
75:12,إِلَى رَبِّكَ يَوْمَئِذٍ الْمُسْتَقَرُّ,"To your Lord, that Day, is the [place of] permanence.",0:57.967
75:13,يُنَبَّؤُا الْإِنسَنُ يَوْمَئِذٍ بِمَا قَدَّمَ وَأَخَّرَ,Man will be informed that Day of what he sent ahead and kept back.,1:03.283
75:14,بَلِ الْإِنسَنُ عَلَى نَفْسِهِ بَصِيرَةٌ,"Rather, man, against himself, will be a witness,",1:12.337
75:15,وَلَوْ أَلْقَى مَعَاذِيرَهُ,Even if he presents his excuses.,1:18.385
75:16,لَا تُحَرِّكْ بِهِ لِسَانَكَ,"Move not your tongue with it, [O Muhammad],",1:22.055
,لِتَعْجَلَ بِهِ,"to hasten with it [i.e., recitation of the Qur'an].",1:25.613
75:17,إِنَّ عَلَيْنَا جَمْعَهُ,"Indeed, upon Us is its collection [in your heart]",1:27.619
,وَقُرْءَانَهُ,and [to make possible] its recitation.,1:31.706
75:18,فَإِذَا قَرَأْنَهُ,"So when We have recited it [through Gabriel],",1:33.680
,فَاتَّبِعْ قُرْءَانَهُ,then follow its recitation.,1:36.053
75:19,ثُمَّ إِنَّ عَلَيْنَا بَيَانَهُ,Then upon Us is its clarification [to you].,1:38.812
75:20,كَلَّا بَلْ تُحِبُّونَ الْعَاجِلَةَ,"No! But you [i.e., mankind] love the immediate",1:44.864
75:21,وَتَذَرُونَ الْءَاخِرَةَ,"And leave [i.e., neglect] the Hereafter.",1:49.395
75:22,وُجُوهٌ يَوْمَئِذٍ نَّاضِرَةٌ,"[Some] faces, that Day, will be radiant,",1:52.720
75:23,إِلَى رَبِّهَا نَاظِرَةٌ,Looking at their Lord.,1:57.703
75:24,وَوُجُوهٌ يَوْمَئِذٍ بَاسِرَةٌ,"And [some] faces, that Day, will be contorted,",2:01.047
75:25,تَظُنُّ أَن يُفْعَلَ بِهَا فَاقِرَةٌ,Expecting that there will be done to them [something] backbreaking.,2:06.321
75:26,كَلَّا إِذَا بَلَغَتِ التَّرَاقِىَ,"No! When it [i.e., the soul] has reached the collar bones",2:12.324
75:27,وَقِيلَ مَنْ رَاقٍ,"And it is said, ""Who will cure [him]?""",2:18.472
75:28,وَظَنَّ أَنَّهُ الْفِرَاقُ,"And he [i.e., the dying one] is certain that it is the [time of] separation",2:24.490
75:29,وَالْتَفَّتِ السَّاقُ بِالسَّاقِ,"And the leg is wound about the leg,",2:30.591
75:30,إِلَى رَبِّكَ يَوْمَئِذٍ الْمَسَاقُ,"To your Lord, that Day, will be the procession.",2:35.070
75:31,فَلَا صَدَّقَ وَلَا صَلَّى,"And he [i.e., the disbeliever] had not believed, nor had he prayed.",2:40.654
75:32,وَلَكِن كَذَّبَ وَتَوَلَّى,"But [instead], he denied and turned away.",2:44.227
75:33,ثُمَّ ذَهَبَ إِلَى أَهْلِهِ يَتَمَطَّى,"And then he went to his people, swaggering [in pride].",2:48.504
75:34,أَوْلَى لَكَ فَأَوْلَى,"Woe to you, and woe!",2:55.559
75:35,ثُمَّ أَوْلَى لَكَ فَأَوْلَى,"Then woe to you, and woe!",2:58.417
75:36,أَيَحْسَبُ الْإِنسَنُ أَن يُتْرَكَ سُدًى,Does man think that he will be left neglected?,3:02.774
75:37,أَلَمْ يَكُ نُطْفَةً مِّن مَّنِىٍّ يُمْنَى,Had he not been a sperm from semen emitted?,3:09.039
75:38,ثُمَّ كَانَ عَلَقَةً فَخَلَقَ فَسَوَّى,"Then he was a clinging clot, and [Allah] created [his form] and proportioned [him]",3:15.802
75:39,فَجَعَلَ مِنْهُ الزَّوْجَيْنِ الذَّكَرَ وَالْأُنثَى,"And made of him two mates, the male and the female.",3:22.294
75:40,أَلَيْسَ ذَلِكَ بِقَدِرٍ عَلَى أَن يُحْىَ الْمَوْتَى,Is not that [Creator] Able to give life to the dead?,3:28.329
,,,3:36.891
