Name	Start	Duration	Time Format	Type	Description
Marker 01	0:01.294	0:00.000	decimal	Cue	
CD Track 03	0:04.826	0:00.000	decimal	Track	
CD Track 04	0:08.493	0:00.000	decimal	Track	
CD Track 01	0:15.240	0:00.000	decimal	Track	
CD Track 05	0:18.573	0:00.000	decimal	Track	
CD Track 06	0:22.573	0:00.000	decimal	Track	
Marker 02	0:27.353	0:00.000	decimal	Cue	
CD Track 08	0:28.720	0:00.000	decimal	Track	
Marker 03	0:34.809	0:00.000	decimal	Cue	
CD Track 10	0:39.133	0:00.000	decimal	Track	
CD Track 11	0:40.933	0:00.000	decimal	Track	
CD Track 09	0:43.800	0:00.000	decimal	Track	
CD Track 12	0:45.506	0:00.000	decimal	Track	
CD Track 13	0:47.240	0:00.000	decimal	Track	
CD Track 14	0:50.560	0:00.000	decimal	Track	
CD Track 16	0:57.813	0:00.000	decimal	Track	
CD Track 17	1:03.826	0:00.000	decimal	Track	
Marker 04	1:07.292	0:00.000	decimal	Cue	
CD Track 18	1:11.426	0:00.000	decimal	Track	
CD Track 19	1:14.173	0:00.000	decimal	Track	
Marker 05	1:19.466	0:00.000	decimal	Cue	
CD Track 21	1:22.533	0:00.000	decimal	Track	
CD Track 20	1:26.973	0:00.000	decimal	Track	
Marker 06	1:32.429	0:00.000	decimal	Cue	
CD Track 23	1:36.440	0:00.000	decimal	Track	
CD Track 22	1:40.106	0:00.000	decimal	Track	
CD Track 24	1:41.600	0:00.000	decimal	Track	
Marker 07	1:47.820	0:00.000	decimal	Cue	
