Name	Start	Duration	Time Format	Type	Description
Marker 01	0:06.877	0:00.000	decimal	Cue	
Marker 02	0:12.160	0:00.000	decimal	Track	
Marker 04	0:21.773	0:00.000	decimal	Track	
Marker 05	0:26.013	0:00.000	decimal	Track	
CD Track 08	0:32.386	0:00.000	decimal	Track	
CD Track 01	0:38.613	0:00.000	decimal	Track	
CD Track 09	0:45.626	0:00.000	decimal	Track	
CD Track 02	0:51.480	0:00.000	decimal	Track	
CD Track 03	1:02.853	0:00.000	decimal	Track	
CD Track 04	1:07.253	0:00.000	decimal	Track	
CD Track 05	1:11.800	0:00.000	decimal	Track	
CD Track 06	1:21.840	0:00.000	decimal	Track	
CD Track 07	1:29.813	0:00.000	decimal	Track	
Marker 07	1:36.969	0:00.000	decimal	Cue	
