Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
Marker 03	0:05.807	0:00.000	decimal	Cue	
Marker 04	0:11.232	0:00.000	decimal	Cue	
Marker 05	0:17.429	0:00.000	decimal	Cue	
Marker 06	0:22.070	0:00.000	decimal	Cue	
Marker 07	0:27.424	0:00.000	decimal	Cue	
Marker 08	0:33.439	0:00.000	decimal	Cue	
Marker 09	0:43.265	0:00.000	decimal	Cue	
Marker 10	0:49.110	0:00.000	decimal	Cue	
CD Track 02	0:52.373	0:00.000	decimal	Track	
Marker 11	0:56.725	0:00.000	decimal	Cue	
Marker 13	1:02.378	0:00.000	decimal	Cue	
Marker 14	1:10.274	0:00.000	decimal	Cue	
Marker 16	1:15.968	0:00.000	decimal	Cue	
Marker 18	1:25.842	0:00.000	decimal	Cue	
Marker 19	1:35.636	0:00.000	decimal	Cue	
Marker 20	1:50.146	0:00.000	decimal	Cue	
Marker 21	2:01.149	0:00.000	decimal	Cue	
