Name	Start	Duration	Time Format	Type	Description
Marker 01	0:05.730	0:00.000	decimal	Cue	
Marker 02	0:09.109	0:00.000	decimal	Cue	
Marker 03	0:12.381	0:00.000	decimal	Cue	
Marker 04	0:15.248	0:00.000	decimal	Cue	
Marker 05	0:19.837	0:00.000	decimal	Cue	
Marker 06	0:25.245	0:00.000	decimal	Cue	
Marker 09	0:29.117	0:00.000	decimal	Cue	
CD Track 02	0:33.760	0:00.000	decimal	Track	
Marker 11	0:38.581	0:00.000	decimal	Cue	
Marker 12	0:41.390	0:00.000	decimal	Cue	
Marker 13	0:45.364	0:00.000	decimal	Cue	
Marker 14	0:49.406	0:00.000	decimal	Cue	
Marker 15	0:53.013	0:00.000	decimal	Cue	
Marker 16	0:57.704	0:00.000	decimal	Cue	
Marker 17	1:03.127	0:00.000	decimal	Cue	
Marker 18	1:07.350	0:00.000	decimal	Cue	
Marker 19	1:10.866	0:00.000	decimal	Cue	
Marker 20	1:15.141	0:00.000	decimal	Cue	
Marker 21	1:19.808	0:00.000	decimal	Cue	
Marker 23	1:24.499	0:00.000	decimal	Cue	
Marker 24	1:28.518	0:00.000	decimal	Cue	
