verse,ar,en,timestamps
69:1, ٱلْحَآقَّةُ,The Inevitable Reality -,0:00.556
69:2,مَا ٱلْحَآقَّةُ,What is the Inevitable Reality?,0:06.297
69:3,وَمَآ أَدْرَىٰكَ مَا ٱلْحَآقَّةُ,And what can make you know what is the Inevitable Reality?,0:11.634
69:4,كَذَّبَتْ ثَمُودُ وَعَادٌۢ بِٱلْقَارِعَةِ,"Thamud and 'Aad denied the Striking Calamity [i.e., the Resurrection].",0:21.299
69:5,فَأَمَّا ثَمُودُ,"So as for Thamud,",0:26.847
,فَأُهْلِكُوا بِٱلطَّاغِيَةِ,they were destroyed by the overpowering [blast].,0:29.586
69:6,وَأَمَّا عَادٌ,"And as for 'Aad,",0:33.088
,فَأُهْلِكُوا بِرِيحٍ صَرْصَرٍ عَاتِيَةٍ,"they were destroyed by a screaming, violent wind",0:36.760
69:7,سَخَّرَهَا عَلَيْهِمْ سَبْعَ لَيَالٍ,"Which He [i.e., Allah] imposed upon them for seven nights",0:42.386
,وَثَمَـٰنِيَةَ أَيَّامٍ,and eight days,0:46.520
,وَثَمَـٰنِيَةَ أَيَّامٍ حُسُومًا,"and eight days in succession,",0:51.133
,فَتَرَى ٱلْقَوْمَ فِيهَا صَرْعَىٰ,so you would see the people therein fallen,0:56.186
,كَأَنَّهُمْ أَعْجَازُ نَخْلٍ خَاوِيَةٍ,as if they were hollow trunks of palm trees.,1:00.000
69:8,فَهَلْ تَرَىٰ لَهُم مِّنۢ بَاقِيَةٍ,Then do you see of them any remains?,1:05.526
69:9,وَجَآءَ فِرْعَوْنُ وَمَن قَبْلَهُۥ,And there came Pharaoh and those before him,1:10.998
,وَٱلْمُؤْتَفِكَـٰتُ بِٱلْخَاطِئَةِ,and the overturned cities with sin.,1:18.613
69:10,فَعَصَوْا رَسُولَ رَبِّهِمْ,"And they disobeyed the messenger of their Lord,",1:22.754
,فَأَخَذَهُمْ أَخْذَةً رَّابِيَةً,so He seized them with a seizure exceeding [in severity].,1:25.626
69:11,إِنَّا لَمَّا طَغَا ٱلْمَآءُ,"Indeed, when the water overflowed,",1:29.638
,حَمَلْنَـٰكُمْ فِى ٱلْجَارِيَةِ,"We carried you [i.e., your ancestors] in the sailing ship",1:38.560
69:12,لِنَجْعَلَهَا لَكُمْ تَذْكِرَةً,That We might make it for you a reminder,1:42.411
,وَتَعِيَهَآ أُذُنٌ وَٰعِيَةٌ,and [that] a conscious ear would be conscious of it.,1:46.413
,,,1:53.585
