Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.556	0:00.000	decimal	Cue	
Marker 02	0:06.297	0:00.000	decimal	Cue	
Marker 03	0:11.634	0:00.000	decimal	Cue	
Marker 04	0:21.299	0:00.000	decimal	Cue	
Marker 05	0:26.847	0:00.000	decimal	Cue	
CD Track 01	0:29.586	0:00.000	decimal	Track	
Marker 06	0:33.088	0:00.000	decimal	Cue	
CD Track 02	0:36.760	0:00.000	decimal	Track	
Marker 07	0:42.386	0:00.000	decimal	Cue	
CD Track 03	0:46.520	0:00.000	decimal	Track	
CD Track 04	0:51.133	0:00.000	decimal	Track	
CD Track 05	0:56.186	0:00.000	decimal	Track	
CD Track 06	1:00.000	0:00.000	decimal	Track	
Marker 08	1:05.526	0:00.000	decimal	Cue	
Marker 09	1:10.542	0:00.000	decimal	Cue	
