Name	Start	Duration	Time Format	Type	Description
Marker 01	0:14.334	0:00.000	decimal	Cue	
Marker 18	0:20.026	0:00.000	decimal	Track	
Marker 02	0:24.000	0:00.000	decimal	Track	
Marker 23	0:27.053	0:00.000	decimal	Track	
Marker 03	0:34.413	0:00.000	decimal	Track	
Marker 19	0:38.893	0:00.000	decimal	Track	
Marker 04	0:43.730	0:00.000	decimal	Cue	
Marker 05	0:47.680	0:00.000	decimal	Track	
CD Track 01	0:49.093	0:00.000	decimal	Track	
Marker 06	0:53.746	0:00.000	decimal	Track	
Marker 07	0:56.933	0:00.000	decimal	Track	
Marker 08	1:01.601	0:00.000	decimal	Cue	
Marker 09	1:05.160	0:00.000	decimal	Track	
CD Track 03	1:06.493	0:00.000	decimal	Track	
Marker 10	1:12.786	0:00.000	decimal	Track	
CD Track 06	1:16.840	0:00.000	decimal	Track	
Marker 11	1:22.160	0:00.000	decimal	Track	
Marker 12	1:28.253	0:00.000	decimal	Track	
Marker 14	1:33.622	0:00.000	decimal	Cue	
CD Track 09	1:34.800	0:00.000	decimal	Track	
Marker 22	1:37.640	0:00.000	decimal	Track	
Marker 15	1:42.786	0:00.000	decimal	Track	
Marker 16	1:47.440	0:00.000	decimal	Track	
Marker 17	1:52.785	0:00.000	decimal	Cue	
