verse,ar,en,nl,timestamps
49:10,إِنَّمَا الْمُؤْمِنُونَ إِخْوَةٌ,"The believers are but brothers,",De gelovigen zijn niet anders dan broeders.,0:00.182
,فَأَصْلِحُوا بَيْنَ أَخَوَيْكُمْ,so make settlement between your brothers.,"Verzoen je dus met jullie broeders,",0:04.706
,وَاتَّقُوا اللَّهَ لَعَلَّكُمْ تُرْحَمُونَ,And fear Allah that you may receive mercy.,"en vrees Allah, zodat jullie genade kunnen ontvangen.",0:08.840
49:11,يَأَيُّهَا الَّذِينَ ءَامَنُوا,"O you who have believed,","O, jullie die geloven!",0:15.383
,لَا يَسْخَرْ قَوْمٌ مِّن قَوْمٍ,let not a people ridicule [another] people;,"Laat een volk geen ander volk beledigen,",0:20.826
,عَسَى أَن يَكُونُوا خَيْرًا مِّنْهُمْ,perhaps they may be better than them;,het kan zijn dat de laatste (die beledigd word) beter is dan de eerste;,0:28.546
,وَلَا نِسَاءٌ مِّن نِّسَاءٍ,nor let women ridicule [other] women;,"en laat vrouwen geen andere vrouwen bespotten,",0:35.920
,عَسَى أَن يَكُنَّ خَيْرًا مِّنْهُنَّ,perhaps they may be better than them.,"het kan zijn dat de laatsten beter zijn dan de eersten,",0:46.120
,وَلَا تَلْمِزُوا أَنفُسَكُمْ,And do not insult one another,"breng elkaar niet tot schande,",0:55.786
,وَلَا تَنَابَزُوا بِالْأَلْقَبِ,and do not call each other by [offensive] nicknames.,noch beledig elkaar door het geven van bijnamen.,1:00.920
,بِئْسَ الِاسْمُ الْفُسُوقُ بَعْدَ الْإِيمَنِ,"Wretched is the name [i.e., mention] of disobedience after [one's] faith.","Hoe slecht is het om elkaars broeder te ""beledigen nadat hij tot het geloof is gekomen.",1:06.906
,وَمَن لَّمْ يَتُبْ,And whoever does not repent -,En wie geen berouw toont:,1:14.426
,فَأُولَئِكَ هُمُ الظَّلِمُونَ,then it is those who are the wrongdoers.,zij zijn de onrechtplegers.,1:16.186
,,,,1:25.760
