verse,ar,en,timestamps
67:1,تَبَرَكَ الَّذِى بِيَدِهِ الْمُلْكُ,"Blessed is He in whose hand is dominion,",0:06.056
,وَهُوَ عَلَى كُلِّ شَىْءٍ قَدِيرٌ,and He is over all things competent -,0:09.480
67:2,الَّذِى خَلَقَ الْمَوْتَ وَالْحَيَوةَ,[He] who created death and life,0:16.419
,لِيَبْلُوَكُمْ أَيُّكُمْ أَحْسَنُ عَمَلًا,to test you [as to] which of you is best in deed -,0:19.840
,وَهُوَ الْعَزِيزُ الْغَفُورُ,"and He is the Exalted in Might, the Forgiving -",0:24.266
67:3,الَّذِى خَلَقَ سَبْعَ سَمَوَتٍ طِبَاقًا,[And] who created seven heavens in layers.,0:28.778
,مَّا تَرَى فِى خَلْقِ الرَّحْمَنِ مِن تَفَوُتٍ,You do not see in the creation of the Most Merciful any inconsistency.,0:34.880
,فَارْجِعِ الْبَصَرَ,So return [your] vision [to the sky];,0:40.573
,هَلْ تَرَى مِن فُطُورٍ,do you see any breaks?,0:42.200
67:4,ثُمَّ ارْجِعِ الْبَصَرَ كَرَّتَيْنِ,Then return [your] vision twice again.,0:45.829
,يَنقَلِبْ إِلَيْكَ الْبَصَرُ خَاسِئًا وَهُوَ حَسِيرٌ,[Your] vision will return to you humbled while it is fatigued.,0:49.586
67:5,وَلَقَدْ زَيَّنَّا السَّمَاءَ الدُّنْيَا بِمَصَبِيحَ,"And We have certainly beautified the nearest heaven with lamps [i.e., stars]",0:58.550
,وَجَعَلْنَهَا رُجُومًا لِّلشَّيَطِينِ,and have made [from] them what is thrown at the devils,1:06.373
,وَأَعْتَدْنَا لَهُمْ عَذَابَ السَّعِيرِ,and have prepared for them the punishment of the Blaze.,1:12.120
67:6,وَلِلَّذِينَ كَفَرُوا بِرَبِّهِمْ عَذَابُ جَهَنَّمَ,"And for those who disbelieved in their Lord is the punishment of Hell,",1:17.375
,وَبِئْسَ الْمَصِيرُ,and wretched is the destination.,1:23.760
67:7,إِذَا أُلْقُوا فِيهَا,"When they are thrown into it,",1:26.608
,سَمِعُوا لَهَا شَهِيقًا وَهِىَ تَفُورُ,they hear from it a [dreadful] inhaling while it boils up.,1:30.333
67:8,تَكَادُ تَمَيَّزُ مِنَ الْغَيْظِ,It almost bursts with rage.,1:36.019
,كُلَّمَا أُلْقِىَ فِيهَا فَوْجٌ,"Every time a company is thrown into it,",1:39.920
,سَأَلَهُمْ خَزَنَتُهَا,"its keepers ask them,",1:44.946
,أَلَمْ يَأْتِكُمْ نَذِيرٌ,"""Did there not come to you a warner?""",1:48.400
67:9,قَالُوا بَلَى قَدْ جَاءَنَا نَذِيرٌ,"They will say, ""Yes, a warner had come to us,",1:51.867
,فَكَذَّبْنَا وَقُلْنَا مَا نَزَّلَ اللَّهُ مِن شَىْءٍ,"but we denied and said, 'Allah has not sent down anything.",1:58.520
,إِنْ أَنتُمْ إِلَّا فِى ضَلَلٍ كَبِيرٍ,"You are not but in great error.'""",2:05.306
67:10,وَقَالُوا لَوْ كُنَّا نَسْمَعُ أَوْ نَعْقِلُ,"And they will say, ""If only we had been listening or reasoning,",2:12.266
,مَا كُنَّا فِى أَصْحَبِ السَّعِيرِ,"we would not be among the companions of the Blaze.""",2:18.573
67:11,فَاعْتَرَفُوا بِذَنبِهِمْ,"And they will admit their sin,",2:27.372
,فَسُحْقًا لِّأَصْحَبِ السَّعِيرِ,so [it is] alienation for the companions of the Blaze.,2:30.666
67:12,إِنَّ الَّذِينَ يَخْشَوْنَ رَبَّهُم بِالْغَيْبِ,"Indeed, those who fear their Lord unseen",2:35.243
,لَهُم مَّغْفِرَةٌ وَأَجْرٌ كَبِيرٌ,will have forgiveness and great reward.,2:40.933
67:13,وَأَسِرُّوا قَوْلَكُمْ أَوِ اجْهَرُوا بِهِ,And conceal your speech or publicize it;,2:48.910
,إِنَّهُ عَلِيمٌ بِذَاتِ الصُّدُورِ,"indeed, He is Knowing of that within the breasts.",2:53.080
67:14,أَلَا يَعْلَمُ مَنْ خَلَقَ,"Does He who created not know,",2:59.952
,وَهُوَ اللَّطِيفُ الْخَبِيرُ,"while He is the Subtle, the Aware?",3:02.293
67:15,هُوَ الَّذِى جَعَلَ لَكُمُ الْأَرْضَ ذَلُولًا,It is He who made the earth tame for you -,3:07.601
,فَامْشُوا فِى مَنَاكِبِهَا وَكُلُوا مِن رِّزْقِهِ,so walk among its slopes and eat of His provision -,3:12.480
,وَإِلَيْهِ النُّشُورُ,and to Him is the resurrection.,3:17.853
67:16,ءَأَمِنتُم,Do you feel secure,3:22.355
,مَّن فِى السَّمَاءِ أَن يَخْسِفَ بِكُمُ الْأَرْضَ,that He who is above would not cause the earth to swallow you,3:25.026
,فَإِذَا هِىَ تَمُورُ,and suddenly it would sway?,3:32.946
67:17,أَمْ أَمِنتُم,Or do you feel secure,3:36.426
,مَّن فِى السَّمَاءِ أَن يُرْسِلَ عَلَيْكُمْ,that He who is above would not send against you,3:39.133
,حَاصِبًا,a storm of stones?,3:45.906
,فَسَتَعْلَمُونَ كَيْفَ نَذِيرِ,Then you would know how [severe] was My warning.,3:47.613
67:18,وَلَقَدْ كَذَّبَ الَّذِينَ مِن قَبْلِهِمْ,"And already had those before them denied,",3:51.695
,فَكَيْفَ كَانَ نَكِيرِ,and how [terrible] was My reproach.,3:57.093
67:19,أَوَلَمْ يَرَوْا إِلَى الطَّيْرِ فَوْقَهُمْ صَفَّتٍ,Do they not see the birds above them with wings outspread,4:01.856
,وَيَقْبِضْنَ,and [sometimes] folded in?,4:10.920
,مَا يُمْسِكُهُنَّ إِلَّا الرَّحْمَنُ,None holds them [aloft] except the Most Merciful.,4:12.493
,إِنَّهُ بِكُلِّ شَىْءٍ بَصِيرٌ,"Indeed He is, of all things, Seeing.",4:17.546
67:20,أَمَّنْ هَذَا الَّذِى هُوَ جُندٌ لَّكُمْ يَنصُرُكُم,Or who is it that could be an army for you to aid you,4:23.532
,مِّن دُونِ الرَّحْمَنِ,other than the Most Merciful?,4:30.786
,إِنِ الْكَفِرُونَ إِلَّا فِى غُرُورٍ,The disbelievers are not but in delusion.,4:35.266
67:21,أَمَّنْ هَذَا الَّذِى يَرْزُقُكُمْ,Or who is it that could provide for you,4:40.146
,إِنْ أَمْسَكَ رِزْقَهُ,if He withheld His provision?,4:44.213
,بَل لَّجُّوا فِى عُتُوٍّ وَنُفُورٍ,But they have persisted in insolence and aversion.,4:46.693
67:22,أَفَمَن يَمْشِى مُكِبًّا عَلَى وَجْهِهِ أَهْدَى,Then is one who walks fallen on his face better guided,4:52.332
,أَمَّن يَمْشِى سَوِيًّا عَلَى صِرَطٍ مُّسْتَقِيمٍ,or one who walks erect on a straight path?,5:00.520
67:23,قُلْ هُوَ الَّذِى أَنشَأَكُمْ,"Say, ""It is He who has produced you",5:09.863
,وَجَعَلَ لَكُمُ السَّمْعَ وَالْأَبْصَرَ وَالْأَفِْٔدَةَ,"and made for you hearing and vision and hearts [i.e., intellect];",5:15.600
,قَلِيلًا مَّا تَشْكُرُونَ,"little are you grateful.""",5:20.920
67:24,قُلْ هُوَ الَّذِى ذَرَأَكُمْ فِى الْأَرْضِ,"Say, ""It is He who has multiplied you throughout the earth,",5:24.361
,وَإِلَيْهِ تُحْشَرُونَ,"and to Him you will be gathered.""",5:27.826
67:25,وَيَقُولُونَ مَتَى هَذَا الْوَعْدُ,"And they say, ""When is this promise,",5:30.624
,إِن كُنتُمْ صَدِقِينَ,"if you should be truthful?""",5:34.440
67:26,قُلْ إِنَّمَا الْعِلْمُ عِندَ اللَّهِ,"Say, ""The knowledge is only with Allah,",5:39.971
,وَإِنَّمَا أَنَا نَذِيرٌ مُّبِينٌ,"and I am only a clear warner.""",5:46.533
67:27,فَلَمَّا رَأَوْهُ زُلْفَةً,"But when they see it approaching,",5:53.446
,سِئَتْ وُجُوهُ الَّذِينَ كَفَرُوا,"the faces of those who disbelieve will be distressed,",5:57.653
,وَقِيلَ هَذَا الَّذِى كُنتُم بِهِ تَدَّعُونَ,"and it will be said, ""This is that for which you used to call.""",6:02.733
67:28,قُلْ أَرَءَيْتُمْ,"Say, [O Muhammad], ""Have you considered:",6:10.250
,إِنْ أَهْلَكَنِىَ اللَّهُ وَمَن مَّعِىَ,whether Allah should cause my death,6:11.720
,أَوْ رَحِمَنَا,"and those with me or have mercy upon us,",6:16.000
,فَمَن يُجِيرُ الْكَفِرِينَ مِنْ عَذَابٍ أَلِيمٍ,"who can protect the disbelievers from a painful punishment?""",6:17.773
67:29,قُلْ هُوَ الرَّحْمَنُ,"Say, ""He is the Most Merciful;",6:25.853
,ءَامَنَّا بِهِ,"we have believed in Him,",6:28.080
,وَعَلَيْهِ تَوَكَّلْنَا,and upon Him we have relied.,6:32.120
,فَسَتَعْلَمُونَ مَنْ هُوَ فِى ضَلَلٍ مُّبِينٍ,"And you will [come to] know who it is that is in clear error.""",6:35.040
67:30,قُلْ أَرَءَيْتُمْ,"Say, ""Have you considered:",6:40.970
,إِنْ أَصْبَحَ مَاؤُكُمْ غَوْرًا,"if your water was to become sunken [into the earth],",6:42.560
,فَمَن يَأْتِيكُم بِمَاءٍ مَّعِينٍ,"then who could bring you flowing water?""",6:47.840
,,,6:57.541
