Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.418	0:00.000	decimal	Cue	
CD Track 01	0:03.973	0:00.000	decimal	Track	
Marker 02	0:07.192	0:00.000	decimal	Cue	
CD Track 02	0:11.253	0:00.000	decimal	Track	
Marker 03	0:15.077	0:00.000	decimal	Cue	
CD Track 03	0:20.720	0:00.000	decimal	Track	
Marker 04	0:24.311	0:00.000	decimal	Cue	
CD Track 04	0:29.800	0:00.000	decimal	Track	
Marker 06	0:37.061	0:00.000	decimal	Cue	
Marker 07	0:42.290	0:00.000	decimal	Cue	
CD Track 06	0:45.960	0:00.000	decimal	Track	
Marker 08	0:52.202	0:00.000	decimal	Cue	
CD Track 07	0:55.253	0:00.000	decimal	Track	
Marker 09	0:58.024	0:00.000	decimal	Cue	
CD Track 08	1:02.946	0:00.000	decimal	Track	
CD Track 10	1:05.226	0:00.000	decimal	Track	
Marker 10	1:08.832	0:00.000	decimal	Cue	
CD Track 09	1:16.480	0:00.000	decimal	Track	
Marker 11	1:25.454	0:00.000	decimal	Cue	
