Name	Start	Duration	Time Format	Type	Description
Marker 01	0:01.273	0:00.000	decimal	Cue	
Marker 02	0:13.194	0:00.000	decimal	Cue	
Marker 03	0:28.164	0:00.000	decimal	Cue	
Marker 04	0:41.722	0:00.000	decimal	Cue	
Marker 05	0:50.185	0:00.000	decimal	Cue	
Marker 06	0:59.384	0:00.000	decimal	Cue	
Marker 07	1:07.201	0:00.000	decimal	Cue	
Marker 08	1:15.925	0:00.000	decimal	Cue	
Marker 10	1:34.239	0:00.000	decimal	Cue	
CD Track 03	1:40.520	0:00.000	decimal	Track	
Marker 11	1:43.542	0:00.000	decimal	Cue	
CD Track 01	1:52.333	0:00.000	decimal	Track	
Marker 12	1:57.687	0:00.000	decimal	Cue	
Marker 13	2:12.294	0:00.000	decimal	Cue	
Marker 14	2:19.071	0:00.000	decimal	Cue	
Marker 15	2:28.268	0:00.000	decimal	Cue	
Marker 16	2:36.316	0:00.000	decimal	Cue	
Marker 32	2:48.913	0:00.000	decimal	Cue	
Marker 18	3:29.143	0:00.000	decimal	Cue	
Marker 19	3:42.184	0:00.000	decimal	Cue	
Marker 21	4:07.540	0:00.000	decimal	Cue	
Marker 22	4:16.193	0:00.000	decimal	Cue	
Marker 23	4:41.984	0:00.000	decimal	Cue	
Marker 24	5:00.415	0:00.000	decimal	Cue	
Marker 26	5:25.831	0:00.000	decimal	Cue	
Marker 27	5:48.698	0:00.000	decimal	Cue	
Marker 28	6:03.379	0:00.000	decimal	Cue	
Marker 29	6:20.683	0:00.000	decimal	Cue	
Marker 30	6:38.408	0:00.000	decimal	Cue	
Marker 31	6:56.114	0:00.000	decimal	Cue	
