Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.182	0:00.000	decimal	Cue	
CD Track 01	0:06.853	0:00.000	decimal	Track	
CD Track 02	0:12.453	0:00.000	decimal	Track	
CD Track 03	0:14.280	0:00.000	decimal	Track	
CD Track 04	0:18.280	0:00.000	decimal	Track	
Marker 02	0:24.328	0:00.000	decimal	Cue	
CD Track 05	0:29.413	0:00.000	decimal	Track	
Marker 03	0:33.440	0:00.000	decimal	Cue	
CD Track 07	0:41.680	0:00.000	decimal	Track	
CD Track 08	0:52.253	0:00.000	decimal	Track	
Marker 04	0:57.461	0:00.000	decimal	Cue	
