Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.221	0:00.000	decimal	Cue	
CD Track 01	0:04.653	0:00.000	decimal	Track	
CD Track 02	0:07.680	0:00.000	decimal	Track	
CD Track 03	0:11.346	0:00.000	decimal	Track	
CD Track 04	0:14.626	0:00.000	decimal	Track	
CD Track 05	0:17.320	0:00.000	decimal	Track	
Marker 02	0:19.921	0:00.000	decimal	Cue	
CD Track 06	0:26.133	0:00.000	decimal	Track	
CD Track 07	0:28.520	0:00.000	decimal	Track	
CD Track 08	0:30.426	0:00.000	decimal	Track	
CD Track 09	0:33.386	0:00.000	decimal	Track	
Marker 03	0:36.625	0:00.000	decimal	Cue	
CD Track 10	0:39.693	0:00.000	decimal	Track	
Marker 04	0:45.956	0:00.000	decimal	Cue	
CD Track 11	0:47.626	0:00.000	decimal	Track	
CD Track 12	0:49.506	0:00.000	decimal	Track	
Marker 05	0:52.575	0:00.000	decimal	Cue	
CD Track 13	0:56.000	0:00.000	decimal	Track	
CD Track 14	0:58.560	0:00.000	decimal	Track	
CD Track 15	1:02.440	0:00.000	decimal	Track	
CD Track 16	1:06.693	0:00.000	decimal	Track	
CD Track 17	1:10.200	0:00.000	decimal	Track	
Marker 07	1:16.010	0:00.000	decimal	Cue	
CD Track 18	1:21.946	0:00.000	decimal	Track	
CD Track 19	1:24.333	0:00.000	decimal	Track	
CD Track 20	1:28.546	0:00.000	decimal	Track	
CD Track 21	1:32.386	0:00.000	decimal	Track	
CD Track 22	1:36.386	0:00.000	decimal	Track	
Marker 08	1:44.518	0:00.000	decimal	Cue	
