Name	Start	Duration	Time Format	Type	Description
Marker 05	0:00.166	0:00.000	decimal	Cue	
CD Track 13	0:02.146	0:00.000	decimal	Track	
Marker 06	0:07.013	0:00.000	decimal	Cue	
CD Track 14	0:10.146	0:00.000	decimal	Track	
CD Track 01	0:13.773	0:00.000	decimal	Track	
Marker 07	0:19.676	0:00.000	decimal	Cue	
CD Track 02	0:23.920	0:00.000	decimal	Track	
CD Track 15	0:26.386	0:00.000	decimal	Track	
CD Track 03	0:31.493	0:00.000	decimal	Track	
CD Track 04	0:35.066	0:00.000	decimal	Track	
CD Track 18	0:37.266	0:00.000	decimal	Track	
Marker 09	0:40.284	0:00.000	decimal	Cue	
CD Track 05	0:46.573	0:00.000	decimal	Track	
CD Track 08	0:51.320	0:00.000	decimal	Track	
CD Track 16	0:53.960	0:00.000	decimal	Track	
Marker 10	0:57.931	0:00.000	decimal	Cue	
CD Track 09	1:03.013	0:00.000	decimal	Track	
Marker 11	1:09.206	0:00.000	decimal	Cue	
CD Track 10	1:12.933	0:00.000	decimal	Track	
CD Track 17	1:14.626	0:00.000	decimal	Track	
Marker 12	1:19.301	0:00.000	decimal	Cue	
