verse,ar,en,timestamps
19:16,وَاذْكُرْ فِى الْكِتَبِ مَرْيَمَ إِذِ انتَبَذَتْ مِنْ أَهْلِهَا مَكَانًا شَرْقِيًّا,"And mention, [O Muhammad], in the Book [the story of] Mary, when she withdrew from her family to a place toward the east.",0:07.762
19:17,فَاتَّخَذَتْ مِن دُونِهِمْ حِجَابًا فَأَرْسَلْنَا إِلَيْهَا رُوحَنَا فَتَمَثَّلَ لَهَا بَشَرًا سَوِيًّا,"And she took, in seclusion from them, a screen. Then We sent to her Our Angel [i.e., Gabriel], and he represented himself to her as a well-proportioned man.",0:19.500
19:18,قَالَتْ إِنِّى أَعُوذُ بِالرَّحْمَنِ مِنكَ إِن كُنتَ تَقِيًّا,"She said, ""Indeed, I seek refuge in the Most Merciful from you, [so leave me], if you should be fearing of Allah.""",0:35.809
19:19,قَالَ إِنَّمَا أَنَا رَسُولُ رَبِّكِ لِأَهَبَ لَكِ غُلَمًا زَكِيًّا,"He said, ""I am only the messenger of your Lord to give you [news of] a pure boy [i.e., son].""",0:47.263
19:20,قَالَتْ أَنَّى يَكُونُ لِى غُلَمٌ وَلَمْ يَمْسَسْنِى بَشَرٌ وَلَمْ أَكُ بَغِيًّا,"She said, ""How can I have a boy while no man has touched me and I have not been unchaste?""",0:58.192
19:21,قَالَ كَذَلِكِ قَالَ رَبُّكِ هُوَ عَلَىَّ هَيِّنٌ وَلِنَجْعَلَهُ ءَايَةً لِّلنَّاسِ وَرَحْمَةً مِّنَّا وَكَانَ أَمْرًا مَّقْضِيًّا,"He said, ""Thus [it will be]; your Lord says, 'It is easy for Me, and We will make him a sign to the people and a mercy from Us. And it is a matter [already] decreed.'""",1:10.481
19:22,فَحَمَلَتْهُ فَانتَبَذَتْ بِهِ مَكَانًا قَصِيًّا,"So she conceived him, and she withdrew with him to a remote place.",1:30.708
19:23,فَأَجَاءَهَا الْمَخَاضُ إِلَى جِذْعِ النَّخْلَةِ قَالَتْ يَلَيْتَنِى مِتُّ قَبْلَ هَذَا وَكُنتُ نَسْيًا مَّنسِيًّا,"And the pains of childbirth drove her to the trunk of a palm tree. She said, ""Oh, I wish I had died before this and was in oblivion, forgotten.""",1:38.971
19:24,فَنَادَىهَا مِن تَحْتِهَا أَلَّا تَحْزَنِى قَدْ جَعَلَ رَبُّكِ تَحْتَكِ سَرِيًّا,"But he called her from below her, ""Do not grieve; your Lord has provided beneath you a stream.",1:57.280
19:25,وَهُزِّى إِلَيْكِ بِجِذْعِ النَّخْلَةِ تُسَقِطْ عَلَيْكِ رُطَبًا جَنِيًّا,"And shake toward you the trunk of the palm tree; it will drop upon you ripe, fresh dates.",2:15.527
19:26,فَكُلِى وَاشْرَبِى وَقَرِّى عَيْنًا فَإِمَّا تَرَيِنَّ مِنَ الْبَشَرِ أَحَدًا فَقُولِى إِنِّى نَذَرْتُ لِلرَّحْمَنِ صَوْمًا فَلَنْ أُكَلِّمَ الْيَوْمَ إِنسِيًّا,"So eat and drink and be contented. And if you see from among humanity anyone, say, 'Indeed, I have vowed to the Most Merciful abstention, so I will not speak today to [any] man.'""",2:27.582
19:27,فَأَتَتْ بِهِ قَوْمَهَا تَحْمِلُهُ,"Then she brought him to her people, carrying him.",2:54.027
,قَالُوا يَمَرْيَمُ,"They said, ""O Mary,",2:58.226
,لَقَدْ جِئْتِ شَئًْا فَرِيًّا,you have certainly done a thing unprecedented.,3:00.226
19:28,يَأُخْتَ هَرُونَ,"O sister [i.e., descendant] of Aaron,",3:05.071
,مَا كَانَ أَبُوكِ امْرَأَ سَوْءٍ,"your father was not a man of evil,",3:08.200
,وَمَا كَانَتْ أُمُّكِ بَغِيًّا,"nor was your mother unchaste.""",3:11.826
19:29,فَأَشَارَتْ إِلَيْهِ,So she pointed to him.,3:17.722
,قَالُوا كَيْفَ نُكَلِّمُ,"They said, ""How can we speak",3:22.013
,مَن كَانَ فِى الْمَهْدِ صَبِيًّا,"to one who is in the cradle a child?""",3:24.440
19:30,قَالَ إِنِّى عَبْدُ اللَّهِ,"[Jesus] said, ""Indeed, I am the servant of Allah.",3:29.566
,ءَاتَىنِىَ الْكِتَبَ,He has given me the Scripture,3:33.106
,وَجَعَلَنِى نَبِيًّا,and made me a prophet.,3:35.400
19:31,وَجَعَلَنِى مُبَارَكًا أَيْنَ مَا كُنتُ,And He has made me blessed wherever I am,3:38.402
,وَجَعَلَنِى مُبَارَكًا أَيْنَ مَا كُنتُ,And He has made me blessed wherever I am,3:44.666
,وَأَوْصَنِى بِالصَّلَوةِ,and has enjoined upon me prayer,3:49.386
,وَالزَّكَوةِ مَا دُمْتُ حَيًّا,and zakah as long as I remain alive,3:52.053
19:32,وَبَرًّا بِوَلِدَتِى,"And [made me] dutiful to my mother,",3:56.014
,وَلَمْ يَجْعَلْنِى جَبَّارًا شَقِيًّا,and He has not made me a wretched tyrant.,4:01.120
19:33,وَالسَّلَمُ عَلَىَّ يَوْمَ وُلِدتُّ,And peace is on me the day I was born,4:07.264
,وَيَوْمَ أَمُوتُ,and the day I will die,4:11.026
,وَيَوْمَ أُبْعَثُ حَيًّا,"and the day I am raised alive.""",4:12.746
,,,4:17.359
