verse,ar,en,timestamps
19:27,قَالُوا يَمَرْيَمُ,"They said, ""O Mary,",0:00.166
,لَقَدْ جِئْتِ شَئًْا فَرِيًّا,you have certainly done a thing unprecedented.,0:02.146
19:28,يَأُخْتَ هَرُونَ,"O sister [i.e., descendant] of Aaron,",0:07.013
,مَا كَانَ أَبُوكِ امْرَأَ سَوْءٍ,"your father was not a man of evil,",0:10.146
,وَمَا كَانَتْ أُمُّكِ بَغِيًّا,"nor was your mother unchaste.""",0:13.773
19:29,فَأَشَارَتْ إِلَيْهِ,So she pointed to him.,0:19.676
,قَالُوا كَيْفَ نُكَلِّمُ,"They said, ""How can we speak",0:23.920
,مَن كَانَ فِى الْمَهْدِ صَبِيًّا,"to one who is in the cradle a child?""",0:26.386
19:30,قَالَ إِنِّى عَبْدُ اللَّهِ,"[Jesus] said, ""Indeed, I am the servant of Allah.",0:31.493
,ءَاتَىنِىَ الْكِتَبَ,He has given me the Scripture,0:35.066
,وَجَعَلَنِى نَبِيًّا,and made me a prophet.,0:37.266
19:31,وَجَعَلَنِى مُبَارَكًا أَيْنَ مَا كُنتُ,And He has made me blessed wherever I am,0:40.284
,وَجَعَلَنِى مُبَارَكًا أَيْنَ مَا كُنتُ,And He has made me blessed wherever I am,0:46.573
,وَأَوْصَنِى بِالصَّلَوةِ,and has enjoined upon me prayer,0:51.320
,وَالزَّكَوةِ مَا دُمْتُ حَيًّا,and zakah as long as I remain alive,0:53.960
19:32,وَبَرًّا بِوَلِدَتِى,"And [made me] dutiful to my mother,",0:57.931
,وَلَمْ يَجْعَلْنِى جَبَّارًا شَقِيًّا,and He has not made me a wretched tyrant.,1:03.013
19:33,وَالسَّلَمُ عَلَىَّ يَوْمَ وُلِدتُّ,And peace is on me the day I was born,1:09.206
,وَيَوْمَ أَمُوتُ,and the day I will die,1:12.933
,وَيَوْمَ أُبْعَثُ حَيًّا,"and the day I am raised alive.""",1:14.626
,,,1:19.301
