Name	Start	Duration	Time Format	Type	Description
Marker 01	0:13.323	0:00.000	decimal	Cue	
Marker 02	0:19.040	0:00.000	decimal	Track	
Marker 03	0:25.801	0:00.000	decimal	Cue	
CD Track 02	0:32.200	0:00.000	decimal	Track	
Marker 04	0:36.507	0:00.000	decimal	Cue	
CD Track 04	0:40.493	0:00.000	decimal	Track	
CD Track 03	0:48.373	0:00.000	decimal	Track	
Marker 05	0:57.778	0:00.000	decimal	Cue	
CD Track 06	1:02.986	0:00.000	decimal	Track	
CD Track 05	1:07.880	0:00.000	decimal	Track	
Marker 06	1:14.222	0:00.000	decimal	Cue	
CD Track 09	1:20.360	0:00.000	decimal	Track	
CD Track 08	1:23.853	0:00.000	decimal	Track	
Marker 07	1:35.000	0:00.000	decimal	Cue	
