verse,ar,en,timestamps
18:83,وَيَسْـَٔلُونَكَ عَن ذِى ٱلْقَرْنَيْنِ ۖ,"And they ask you, [O Muhammad], about Dhul-Qarnayn.",0:07.139
,قُلْ سَأَتْلُوا عَلَيْكُم مِّنْهُ ذِكْرًا,"Say, ""I will recite to you about him a report.""",0:13.773
18:84,إِنَّا مَكَّنَّا لَهُۥ فِى ٱلْأَرْضِ,"Indeed, We established him upon the earth,",0:19.957
,وَءَاتَيْنَـٰهُ مِن كُلِّ شَىْءٍ سَبَبًا,"and We gave him from everything a way [i.e., means].",0:24.773
18:85,فَأَتْبَعَ سَبَبًا,So he followed a way,0:32.135
18:86,حَتَّىٰٓ إِذَا بَلَغَ مَغْرِبَ ٱلشَّمْسِ,"Until, when he reached the setting of the sun [i.e., the west],",0:35.148
,وَجَدَهَا تَغْرُبُ فِى عَيْنٍ حَمِئَةٍ,"he found it [as if] setting in a body of dark water,",0:40.080
,وَجَدَهَا تَغْرُبُ فِى عَيْنٍ حَمِئَةٍ,"he found it [as if] setting in a body of dark water,",0:44.693
,وَوَجَدَ عِندَهَا قَوْمًا ۗ,and he found near it a people.,0:49.000
,قُلْنَا يَـٰذَا ٱلْقَرْنَيْنِ,"We [i.e., Allah] said, ""O Dhul-Qarnayn,",0:53.880
,إِمَّآ أَن تُعَذِّبَ,either you punish [them],0:56.453
,وَإِمَّآ أَن تَتَّخِذَ فِيهِمْ حُسْنًا,"or else adopt among them [a way of] goodness.""",1:00.720
18:87,قَالَ أَمَّا مَن ظَلَمَ,"He said, ""As for one who wrongs,",1:07.788
,فَسَوْفَ نُعَذِّبُهُۥ,we will punish him.,1:11.840
,ثُمَّ يُرَدُّ إِلَىٰ رَبِّهِۦ,"Then he will be returned to his Lord,",1:14.000
,ثُمَّ يُرَدُّ إِلَىٰ رَبِّهِۦ,"Then he will be returned to his Lord,",1:17.866
,فَيُعَذِّبُهُۥ عَذَابًا نُّكْرًا,"and He will punish him with a terrible punishment [i.e., Hellfire].",1:21.213
18:88,وَأَمَّا مَنْ ءَامَنَ وَعَمِلَ صَـٰلِحًا,"But as for one who believes and does righteousness,",1:26.512
,فَلَهُۥ جَزَآءً ٱلْحُسْنَىٰ ۖ,"he will have a reward of the best [i.e., Paradise],",1:32.306
,وَسَنَقُولُ لَهُۥ مِنْ أَمْرِنَا يُسْرًا,"and we [i.e., Dhul-Qarnayn] will speak to him from our command with ease.""",1:36.293
