Name	Start	Duration	Time Format	Type	Description
Marker 01	0:01.713	0:00.000	decimal	Cue	
Marker 03	0:03.173	0:00.000	decimal	Track	
Marker 04	0:06.702	0:00.000	decimal	Cue	
CD Track 01	0:10.546	0:00.000	decimal	Track	
CD Track 02	0:13.946	0:00.000	decimal	Track	
Marker 05	0:17.377	0:00.000	decimal	Cue	
Marker 06	0:22.511	0:00.000	decimal	Cue	
Marker 07	0:25.333	0:00.000	decimal	Subclip	
CD Track 03	0:27.853	0:00.000	decimal	Track	
CD Track 04	0:32.546	0:00.000	decimal	Track	
Marker 08	0:36.363	0:00.000	decimal	Cue	
Marker 09	0:41.841	0:00.000	decimal	Cue	
Marker 10	0:47.715	0:00.000	decimal	Cue	
CD Track 05	0:49.466	0:00.000	decimal	Track	
Marker 11	0:53.619	0:00.000	decimal	Cue	
CD Track 06	0:55.573	0:00.000	decimal	Track	
Marker 12	0:58.752	0:00.000	decimal	Cue	
