verse,ar,en
75:20,كَلَّا,No!
75:20,بَلْ تُحِبُّونَ الْعَاجِلَةَ,"But you [i.e., mankind] love the immediate"
75:21,وَتَذَرُونَ الْءَاخِرَةَ,"And leave [i.e., neglect] the Hereafter."
75:20,بَلْ تُحِبُّونَ الْعَاجِلَةَ,"But you [i.e., mankind] love the immediate"
75:21,وَتَذَرُونَ الْءَاخِرَةَ,"And leave [i.e., neglect] the Hereafter."
75:22,وُجُوهٌ يَوْمَئِذٍ نَّاضِرَةٌ,"[Some] faces, that Day, will be radiant,"
75:23,إِلَى رَبِّهَا نَاظِرَةٌ,Looking at their Lord.
75:22,وُجُوهٌ يَوْمَئِذٍ نَّاضِرَةٌ,"[Some] faces, that Day, will be radiant,"
75:23,إِلَى رَبِّهَا نَاظِرَةٌ,Looking at their Lord.
75:24,وَوُجُوهٌ يَوْمَئِذٍ بَاسِرَةٌ,"And [some] faces, that Day, will be contorted,"
75:25,تَظُنُّ أَن يُفْعَلَ بِهَا فَاقِرَةٌ,Expecting that there will be done to them [something] backbreaking.
75:26,كَلَّا,No!
75:26,إِذَا بَلَغَتِ التَّرَاقِىَ,"When it [i.e., the soul] has reached the collar bones"
75:27,وَقِيلَ مَنْ,"And it is said, ""Who"
75:27,رَاقٍ,"will cure [him]?"""
