Name	Start	Duration	Time Format	Type	Description
Marker 01	0:01.807	0:00.000	decimal	Cue	
Marker 03	0:03.266	0:00.000	decimal	Track	
Marker 04	0:06.800	0:00.000	decimal	Cue	
CD Track 01	0:10.680	0:00.000	decimal	Track	
CD Track 02	0:14.066	0:00.000	decimal	Track	
Marker 05	0:17.462	0:00.000	decimal	Cue	
Marker 06	0:22.632	0:00.000	decimal	Cue	
Marker 07	0:25.333	0:00.000	decimal	Subclip	
CD Track 03	0:27.973	0:00.000	decimal	Track	
CD Track 04	0:32.666	0:00.000	decimal	Track	
Marker 08	0:36.505	0:00.000	decimal	Cue	
Marker 09	0:41.973	0:00.000	decimal	Cue	
Marker 10	0:47.845	0:00.000	decimal	Cue	
CD Track 05	0:49.560	0:00.000	decimal	Track	
Marker 11	0:53.712	0:00.000	decimal	Cue	
CD Track 06	0:55.666	0:00.000	decimal	Track	
Marker 12	0:58.394	0:00.000	decimal	Cue	
