verse,ar,en,timestamps
75:20,كَلَّا,No!,0:01.713
75:20,بَلْ تُحِبُّونَ الْعَاجِلَةَ,"But you [i.e., mankind] love the immediate",0:03.173
75:21,وَتَذَرُونَ الْءَاخِرَةَ,"And leave [i.e., neglect] the Hereafter.",0:06.702
75:20,بَلْ تُحِبُّونَ الْعَاجِلَةَ,"But you [i.e., mankind] love the immediate",0:10.546
75:21,وَتَذَرُونَ الْءَاخِرَةَ,"And leave [i.e., neglect] the Hereafter.",0:13.946
75:22,وُجُوهٌ يَوْمَئِذٍ نَّاضِرَةٌ,"[Some] faces, that Day, will be radiant,",0:17.377
75:23,إِلَى رَبِّهَا نَاظِرَةٌ,Looking at their Lord.,0:22.511
75:22,وُجُوهٌ يَوْمَئِذٍ نَّاضِرَةٌ,"[Some] faces, that Day, will be radiant,","0:27.853,0:25.333"
75:23,إِلَى رَبِّهَا نَاظِرَةٌ,Looking at their Lord.,0:32.546
75:24,وَوُجُوهٌ يَوْمَئِذٍ بَاسِرَةٌ,"And [some] faces, that Day, will be contorted,",0:36.363
75:25,تَظُنُّ أَن يُفْعَلَ بِهَا فَاقِرَةٌ,Expecting that there will be done to them [something] backbreaking.,0:41.841
75:26,كَلَّا,No!,0:47.715
75:26,إِذَا بَلَغَتِ التَّرَاقِىَ,"When it [i.e., the soul] has reached the collar bones",0:49.466
75:27,وَقِيلَ مَنْ,"And it is said, ""Who",0:53.619
75:27,رَاقٍ,"will cure [him]?""",0:55.573
,,,0:58.752
