Name	Start	Duration	Time Format	Type	Description
Marker 01	0:11.298	0:00.000	decimal	Cue	
CD Track 01	0:13.773	0:00.000	decimal	Track	
Marker 05	0:16.421	0:00.000	decimal	Cue	
Marker 06	0:21.840	0:00.000	decimal	Track	
Marker 07	0:27.423	0:00.000	decimal	Cue	
CD Track 02	0:29.933	0:00.000	decimal	Track	
Marker 08	0:35.117	0:00.000	decimal	Cue	
Marker 09	0:39.275	0:00.000	decimal	Cue	
Marker 10	0:42.778	0:00.000	decimal	Cue	
CD Track 04	0:46.893	0:00.000	decimal	Track	
CD Track 05	0:49.453	0:00.000	decimal	Track	
CD Track 03	0:54.266	0:00.000	decimal	Track	
CD Track 08	0:58.146	0:00.000	decimal	Track	
CD Track 09	1:01.293	0:00.000	decimal	Track	
CD Track 10	1:04.266	0:00.000	decimal	Track	
Marker 11	1:07.466	0:00.000	decimal	Cue	
Marker 12	1:12.061	0:00.000	decimal	Cue	
CD Track 13	1:16.026	0:00.000	decimal	Track	
CD Track 11	1:18.786	0:00.000	decimal	Track	
CD Track 12	1:22.013	0:00.000	decimal	Track	
Marker 13	1:24.388	0:00.000	decimal	Cue	
