verse,ar,en,timestamps
,لِلْفُقَرَاءِ,[Charity is] for the poor,1:29.859
,الَّذِينَ أُحْصِرُوا فِى سَبِيلِ اللَّهِ,"who have been restricted for the cause of Allah,",1:33.360
,الَّذِينَ أُحْصِرُوا فِى سَبِيلِ اللَّهِ,"who have been restricted for the cause of Allah,",1:38.666
,لَا يَسْتَطِيعُونَ ضَرْبًا فِى الْأَرْضِ,unable to move about in the land.,1:43.320
,يَحْسَبُهُمُ الْجَاهِلُ أَغْنِيَاءَ,An ignorant [person] would think them self-sufficient,1:48.026
,مِنَ التَّعَفُّفِ,"because of their restraint,",1:53.053
,يَحْسَبُهُمُ الْجَاهِلُ أَغْنِيَاءَ,An ignorant [person] would think them self-sufficient,1:54.813
,مِنَ التَّعَفُّفِ,"because of their restraint,",1:59.933
,تَعْرِفُهُم بِسِيمَهُمْ,but you will know them by their [characteristic] sign.,2:01.560
,لَا يَسَْٔلُونَ النَّاسَ إِلْحَافًا,They do not ask people persistently [or at all].,2:04.840
,لَا يَسَْٔلُونَ النَّاسَ إِلْحَافًا,They do not ask people persistently [or at all].,2:09.200
,وَمَا تُنفِقُوا مِنْ خَيْرٍ فَإِنَّ اللَّهَ,"And whatever you spend of good - indeed, Allah",2:13.680
,فَإِنَّ اللَّهَ بِهِ عَلِيمٌ,"indeed, Allah is Knowing of it.",2:20.080
,الَّذِينَ يُنفِقُونَ أَمْوَلَهُم,Those who spend their wealth [in Allah's way],2:23.800
,الَّذِينَ يُنفِقُونَ أَمْوَلَهُم,Those who spend their wealth [in Allah's way],2:27.480
,بِالَّيْلِ وَالنَّهَارِ سِرًّا وَعَلَانِيَةً,"by night and by day, secretly and publicly -",2:31.293
,فَلَهُمْ أَجْرُهُمْ عِندَ رَبِّهِمْ,they will have their reward with their Lord.,2:36.333
,فَلَهُمْ أَجْرُهُمْ عِندَ رَبِّهِمْ,they will have their reward with their Lord.,2:40.613
,وَلَا خَوْفٌ عَلَيْهِمْ,"And no fear will there be concerning them,",2:44.066
,وَلَا خَوْفٌ عَلَيْهِمْ,"And no fear will there be concerning them,",2:47.320
,وَلَا هُمْ يَحْزَنُونَ,nor will they grieve.,2:49.333
,,,2:52.644
