Name	Start	Duration	Time Format	Type	Description
Marker 01	19:50.916	0:00.000	decimal	Cue	
Marker 02	19:55.271	0:00.000	decimal	Cue	
Marker 03	20:00.008	0:00.000	decimal	Cue	
Marker 04	20:04.894	0:00.000	decimal	Cue	
Marker 05	20:09.461	0:00.000	decimal	Cue	
Marker 06	20:14.536	0:00.000	decimal	Cue	
Marker 07	20:20.291	0:00.000	decimal	Cue	
Marker 08	20:26.012	0:00.000	decimal	Cue	
Marker 09	20:32.432	0:00.000	decimal	Cue	
Marker 10	20:38.133	0:00.000	decimal	Cue	
Marker 11	20:41.978	0:00.000	decimal	Cue	
