verse,ar,en
,وَيَسَْٔلُونَكَ عَنِ الْجِبَالِ,"And they ask you about the mountains,"
,فَقُلْ يَنسِفُهَا رَبِّى نَسْفًا,"so say, ""My Lord will blow them away with a blast."
,فَقُلْ يَنسِفُهَا رَبِّى نَسْفًا,"so say, ""My Lord will blow them away with a blast."
,فَيَذَرُهَا قَاعًا صَفْصَفًا,"And He will leave it [i.e., the earth] a level plain;"
,لَّا تَرَى فِيهَا عِوَجًا وَلَا أَمْتًا,"You will not see therein a depression or an elevation."""
,يَوْمَئِذٍ يَتَّبِعُونَ الدَّاعِىَ,"That Day, they [i.e., everyone] will follow [the call of] the Caller"
,لَا عِوَجَ لَهُ,"[with] no deviation therefrom,"
,يَوْمَئِذٍ يَتَّبِعُونَ الدَّاعِىَ,"That Day, they [i.e., everyone] will follow [the call of] the Caller"
,لَا عِوَجَ لَهُ,"[with] no deviation therefrom,"
,وَخَشَعَتِ الْأَصْوَاتُ لِلرَّحْمَنِ,"and [all] voices will be stilled before the Most Merciful,"
,وَخَشَعَتِ الْأَصْوَاتُ لِلرَّحْمَنِ,"and [all] voices will be stilled before the Most Merciful,"
,فَلَا تَسْمَعُ إِلَّا هَمْسًا,so you will not hear except a whisper [of footsteps].
