verse,ar,en,timestamps
,الْمُلْكُ يَوْمَئِذٍ الْحَقُّ لِلرَّحْمَنِ,"True sovereignty, that Day, is for the Most Merciful.",0:12.923
,الْمُلْكُ يَوْمَئِذٍ الْحَقُّ لِلرَّحْمَنِ,"True sovereignty, that Day, is for the Most Merciful.",0:18.800
,وَكَانَ يَوْمًا عَلَى الْكَفِرِينَ عَسِيرًا,And it will be upon the disbelievers a difficult Day.,0:24.480
,وَيَوْمَ يَعَضُّ الظَّالِمُ عَلَى يَدَيْهِ,And the Day the wrongdoer will bite on his hands [in regret],0:29.053
,يَقُولُ يَلَيْتَنِى اتَّخَذْتُ مَعَ الرَّسُولِ سَبِيلً,"he will say, ""Oh, I wish I had taken with the Messenger a way.",0:35.240
,يَقُولُ يَلَيْتَنِى اتَّخَذْتُ مَعَ الرَّسُولِ سَبِيلًا,"he will say, ""Oh, I wish I had taken with the Messenger a way.",0:40.880
,يَوَيْلَتَى لَيْتَنِى لَمْ أَتَّخِذْ فُلَانًا خَلِيلًا,"Oh, woe to me! I wish I had not taken that one as a friend.",0:46.446
,يَوَيْلَتَى,"Oh, woe to me!",0:53.040
,يَوَيْلَتَى لَيْتَنِى لَمْ أَتَّخِذْ فُلَانًا خَلِيلًا,"Oh, woe to me! I wish I had not taken that one as a friend.",0:55.320
,لَّقَدْ أَضَلَّنِى عَنِ الذِّكْرِ بَعْدَ إِذْ جَاءَنِى,He led me away from the remembrance after it had come to me.,1:01.666
,وَكَانَ الشَّيْطَنُ لِلْإِنسَنِ خَذُولًا,"And ever is Satan, to man, a deserter.""",1:09.306
,وَقَالَ الرَّسُولُ يَرَبِّ,"And the Messenger has said, ""O my Lord,",1:15.103
,إِنَّ قَوْمِى اتَّخَذُوا هَذَا الْقُرْءَانَ مَهْجُورًا,"indeed my people have taken this Qur’an as [a thing] abandoned.""",1:18.106
,,,1:24.738
