Name	Start	Duration	Time Format	Type	Description
Marker 01	3:31.629	0:00.000	decimal	Cue	
Marker 02	3:34.800	0:00.000	decimal	Track	
Marker 22	3:37.226	0:00.000	decimal	Track	
Marker 03	3:39.853	0:00.000	decimal	Cue	
Marker 07	3:44.466	0:00.000	decimal	Track	
Marker 08	3:48.360	0:00.000	decimal	Track	
Marker 09	3:54.139	0:00.000	decimal	Cue	
Marker 24	3:56.320	0:00.000	decimal	Track	
Marker 10	4:00.253	0:00.000	decimal	Track	
Marker 11	4:04.720	0:00.000	decimal	Track	
Marker 12	4:06.440	0:00.000	decimal	Track	
Marker 13	4:11.172	0:00.000	decimal	Cue	
Marker 25	4:17.306	0:00.000	decimal	Track	
Marker 14	4:19.573	0:00.000	decimal	Track	
Marker 26	4:21.746	0:00.000	decimal	Track	
Marker 16	4:25.548	0:00.000	decimal	Cue	
Marker 17	4:28.000	0:00.000	decimal	Track	
Marker 18	4:33.013	0:00.000	decimal	Cue	
Marker 27	4:35.880	0:00.000	decimal	Track	
Marker 19	4:39.160	0:00.000	decimal	Track	
Marker 20	4:42.306	0:00.000	decimal	Track	
Marker 28	4:44.346	0:00.000	decimal	Track	
Marker 21	4:48.480	0:00.000	decimal	Cue	
