verse,ar,en,timestamps
,وَالَّذِينَ لَا يَشْهَدُونَ الزُّورَ,"And [they are] those who do not testify to falsehood,",3:31.629
,وَإِذَا مَرُّوا بِاللَّغْوِ,"and when they pass near ill speech,",3:34.800
,مَرُّوا كِرَامًا,they pass by with dignity.,3:37.226
,وَالَّذِينَ إِذَا ذُكِّرُوا بَِٔايَتِ رَبِّهِمْ,"And those who, when reminded of the verses of their Lord,",3:39.853
,لَمْ يَخِرُّوا عَلَيْهَا صُمًّا,do not fall upon them deaf,3:44.466
,لَمْ يَخِرُّوا عَلَيْهَا صُمًّا وَعُمْيَانًا,do not fall upon them deaf and blind.,3:48.360
,وَالَّذِينَ يَقُولُونَ,"And those who say,",3:54.139
,رَبَّنَا هَبْ لَنَا مِنْ أَزْوَجِنَا,"""Our Lord, grant us from among our wives",3:56.320
,وَذُرِّيَّتِنَا قُرَّةَ أَعْيُنٍ,and offspring comfort to our eyes,4:00.253
,وَاجْعَلْنَا,and make us,4:04.720
,وَاجْعَلْنَا لِلْمُتَّقِينَ إِمَامًا,"and make us a leader [i.e., example] for the righteous.""",4:06.440
,أُولَئِكَ يُجْزَوْنَ الْغُرْفَةَ,Those will be awarded the Chamber,4:11.172
,بِمَا صَبَرُوا,"for what they patiently endured,",4:17.306
,وَيُلَقَّوْنَ فِيهَا,and they will be received therein,4:19.573
,تَحِيَّةً وَسَلَمًا,"with greetings and [words of] peace,",4:21.746
,خَلِدِينَ فِيهَا,Abiding eternally therein.,4:25.548
,حَسُنَتْ مُسْتَقَرًّا وَمُقَامًا,Good is the settlement and residence.,4:28.000
,قُلْ مَا يَعْبَؤُا بِكُمْ رَبِّى,"Say, ""What would my Lord care for you",4:33.013
,لَوْلَا دُعَاؤُكُمْ,"if not for your supplication?""",4:35.880
,فَقَدْ كَذَّبْتُمْ,"For you [disbelievers] have denied,",4:39.160
,فَقَدْ كَذَّبْتُمْ,"For you [disbelievers] have denied,",4:42.306
,فَسَوْفَ يَكُونُ لِزَامًا,"so it [i.e., your denial] is going to be adherent.",4:44.346
,,,4:48.480
