Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
Marker 02	0:06.148	0:00.000	decimal	Cue	
Marker 03	0:11.829	0:00.000	decimal	Cue	
Marker 04	0:15.317	0:00.000	decimal	Cue	
Marker 05	0:18.310	0:00.000	decimal	Cue	
Marker 21	0:21.724	0:00.000	decimal	Cue	
Marker 06	0:26.373	0:00.000	decimal	Cue	
Marker 07	0:31.957	0:00.000	decimal	Cue	
Marker 09	0:36.935	0:00.000	decimal	Cue	
Marker 10	0:40.908	0:00.000	decimal	Cue	
Marker 11	0:44.603	0:00.000	decimal	Cue	
Marker 12	0:48.353	0:00.000	decimal	Cue	
Marker 13	0:52.769	0:00.000	decimal	Cue	
Marker 14	0:56.699	0:00.000	decimal	Cue	
Marker 15	0:59.860	0:00.000	decimal	Cue	
Marker 16	1:03.873	0:00.000	decimal	Cue	
Marker 17	1:07.234	0:00.000	decimal	Cue	
Marker 18	1:10.087	0:00.000	decimal	Cue	
Marker 19	1:15.094	0:00.000	decimal	Cue	
Marker 22	1:17.657	0:00.000	decimal	Cue	
Marker 20	1:21.609	0:00.000	decimal	Cue	
