verse,ar,en
,هَلَكَ عَنِّى سُلْطَنِيَهْ,"Gone from me is my authority."""
,خُذُوهُ,"[Allah will say], ""Seize him"
,خُذُوهُ,"[Allah will say], ""Seize him"
,خُذُوهُ فَغُلُّوهُ,"[Allah will say], ""Seize him and shackle him."
,خُذُوهُ فَغُلُّوهُ,"[Allah will say], ""Seize him and shackle him."
,خُذُوهُ فَغُلُّوهُ,"[Allah will say], ""Seize him and shackle him."
,ثُمَّ الْجَحِيمَ صَلُّوهُ,Then into Hellfire drive him.
,ثُمَّ فِى سِلْسِلَةٍ ذَرْعُهَا,Then into a chain whose length
,ذَرْعُهَا سَبْعُونَ ذِرَاعًا,whose length is seventy cubits
,ذَرْعُهَا سَبْعُونَ ذِرَاعًا,whose length is seventy cubits
,ذَرْعُهَا سَبْعُونَ ذِرَاعًا فَاسْلُكُوهُ,"whose length is seventy cubits insert him."""
,إِنَّهُ كَانَ لَا يُؤْمِنُ بِاللَّهِ,"Indeed, he did not used to believe in Allah,"
,بِاللَّهِ الْعَظِيمِ,"in Allah, the Most Great"
,بِاللَّهِ الْعَظِيمِ,"in Allah, the Most Great"
,بِاللَّهِ الْعَظِيمِ,"in Allah, the Most Great"
,إِنَّهُ كَانَ لَا يُؤْمِنُ بِاللَّهِ الْعَظِيمِ,"Indeed, he did not used to believe in Allah, the Most Great"
,إِنَّهُ كَانَ لَا يُؤْمِنُ بِاللَّهِ الْعَظِيمِ,"Indeed, he did not used to believe in Allah, the Most Great"
,بِاللَّهِ الْعَظِيمِ,"in Allah, the Most Great"
,بِاللَّهِ الْعَظِيمِ,"in Allah, the Most Great"
