Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
CD Track 02	0:01.720	0:00.000	decimal	Track	
CD Track 03	0:06.600	0:00.000	decimal	Track	
CD Track 10	0:07.933	0:00.000	decimal	Track	
CD Track 01	0:13.066	0:00.000	decimal	Cue	
CD Track 04	0:18.306	0:00.000	decimal	Track	
CD Track 05	0:21.466	0:00.000	decimal	Track	
CD Track 06	0:26.813	0:00.000	decimal	Track	
CD Track 07	0:31.480	0:00.000	decimal	Cue	
CD Track 08	0:36.573	0:00.000	decimal	Track	
CD Track 09	0:39.146	0:00.000	decimal	Track	
Marker 02	0:44.068	0:00.000	decimal	Cue	
